Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Alaa Abdelnaby,1993,1993,1,12,159,26,56,0,1,12,16,12,37,10,6,4,13,24,64,.464,.000,.750,13.3,5.3,3.1,0.8
2,Zaid Abdul-Aziz,1969,1970,2,109,2474,363,893,,,187,291,,981,95,,,,265,913,.406,,.643,22.7,8.4,9.0,0.9
3,Kareem Abdul-Jabbar,1970,1975,6,467,19954,5902,10787,,,2407,3462,481,7161,2008,177,495,,1433,14211,.547,,.695,42.7,30.4,15.3,4.3
4,Jeff Adrien,2014,2014,1,28,705,121,235,0,0,63,94,69,218,31,17,21,31,73,305,.515,,.670,25.2,10.9,7.8,1.1
5,Joe Alexander,2009,2009,1,59,716,102,245,16,46,58,83,44,115,42,15,29,52,107,278,.416,.348,.699,12.1,4.7,1.9,0.7
6,Lucius Allen,1971,1975,5,303,8901,1760,3628,,,665,880,98,1007,1347,151,23,,748,4185,.485,,.756,29.4,13.8,3.3,4.4
7,Malik Allen,2009,2009,1,49,579,73,170,0,1,10,21,35,103,35,7,12,20,89,156,.429,.000,.476,11.8,3.2,2.1,0.7
8,Ray Allen,1997,2003,7,494,17945,3407,7567,1051,2587,1816,2065,591,2260,1861,618,97,1197,1264,9681,.450,.406,.879,36.3,19.6,4.6,3.8
9,Rafer Alston,2000,2002,3,114,1249,123,370,38,115,30,46,19,126,281,57,2,89,98,314,.332,.330,.652,11.0,2.8,1.1,2.5
10,Greg Anderson,1990,1991,2,86,1538,246,505,0,1,107,198,138,448,27,40,63,102,205,599,.487,.000,.540,17.9,7.0,5.2,0.3
11,Giannis Antetokounmpo,2014,2016,3,191,5550,750,1584,60,206,505,685,222,1104,447,163,183,375,546,2065,.473,.291,.737,29.1,10.8,5.8,2.3
12,Greg Anthony,2002,2002,1,24,553,70,188,19,73,13,21,6,44,79,28,1,36,42,172,.372,.260,.619,23.0,7.2,1.8,3.3
13,Tiny Archibald,1984,1984,1,46,1038,136,279,4,18,64,101,16,76,160,33,0,78,78,340,.487,.222,.634,22.6,7.4,1.7,3.5
14,John Arthurs,1970,1970,1,11,86,12,35,,,11,15,,14,17,,,,15,35,.343,,.733,7.8,3.2,1.3,1.5
15,Anthony Avent,1993,1994,2,115,2980,439,1030,0,2,173,251,240,666,124,73,93,183,297,1051,.426,.000,.689,25.9,9.1,5.8,1.1
16,Gustavo Ayon,2013,2013,1,12,163,25,42,0,0,1,12,20,59,12,9,4,9,24,51,.595,,.083,13.6,4.3,4.9,1.0
17,Vin Baker,1994,1997,4,324,12399,2360,4778,33,131,1169,1843,1096,3079,882,295,433,844,1055,5922,.494,.252,.634,38.3,18.3,9.5,2.7
18,Earl Barron,2011,2011,1,7,85,17,37,0,0,2,2,12,22,4,2,2,2,10,36,.459,,1.000,12.1,5.1,3.1,0.6
19,Jon Barry,1993,1995,3,171,2396,291,722,69,226,191,251,61,238,321,167,24,166,221,842,.403,.305,.761,14.0,4.9,1.4,1.9
20,Jerryd Bayless,2015,2016,2,100,2416,317,736,85,230,155,180,30,278,318,85,15,178,216,874,.431,.370,.861,24.2,8.7,2.8,3.2
21,Charlie Bell,2006,2010,5,350,9153,1177,2837,432,1186,378,491,172,791,842,297,30,351,734,3164,.415,.364,.770,26.2,9.0,2.3,2.4
22,Benoit Benjamin,1996,1996,1,70,1492,223,429,0,3,101,138,110,436,48,35,70,110,184,547,.520,.000,.732,21.3,7.8,6.2,0.7
23,Kent Benson,1978,1980,3,207,4809,846,1702,0,1,338,483,372,1212,430,212,209,381,635,2030,.497,.000,.700,23.2,9.8,5.9,2.1
24,Del Beshore,1979,1979,1,1,1,0,0,,,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0
25,Steve Blake,2007,2007,1,33,583,45,129,19,68,11,20,7,45,84,10,3,28,49,120,.349,.279,.550,17.7,3.6,1.4,2.5
26,John Block,1972,1972,1,79,1524,233,530,,,206,275,,410,95,,,,213,672,.440,,.749,19.3,8.5,5.2,1.2
27,Keith Bogans,2009,2009,1,29,485,56,149,32,92,31,33,16,91,33,20,2,22,44,175,.376,.348,.939,16.7,6.0,3.1,1.1
28,Andrew Bogut,2006,2012,7,408,13340,2220,4250,1,22,738,1285,1148,3810,950,283,642,813,1334,5179,.522,.045,.574,32.7,12.7,9.3,2.3
