Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Rick Adelman,1974,1975,2,67,958,107,274,,,82,115,22,95,91,52,2,,94,296,.391,,.713,14.3,4.4,1.4,1.4
2,Joe Alexander,2010,2010,1,8,29,1,6,0,1,2,3,2,5,2,1,1,0,9,4,.167,.000,.667,3.6,0.5,0.6,0.3
3,Malik Allen,2006,2007,2,114,1339,228,505,1,2,51,72,86,259,36,31,32,55,177,508,.451,.500,.708,11.7,4.5,2.3,0.3
4,Lou Amundson,2013,2014,2,2,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,.000,,,1.5,0.0,0.5,0.0
5,Chris Anstey,2000,2000,1,73,1007,161,364,1,6,116,147,90,280,65,29,25,80,180,439,.442,.167,.789,13.8,6.0,3.8,0.9
6,Greg Anthony,2002,2002,1,36,961,113,287,29,90,47,70,16,88,203,49,4,58,72,302,.394,.322,.671,26.7,8.4,2.4,5.6
7,Jim Ard,1978,1978,1,14,116,8,16,,,2,3,8,32,7,0,0,14,18,18,.500,,.667,8.3,1.3,2.3,0.5
8,B.J. Armstrong,1990,2000,7,518,13319,2217,4626,297,679,822,954,145,948,1741,399,39,641,820,5553,.479,.437,.862,25.7,10.7,1.8,3.4
9,Tate Armstrong,1978,1979,2,92,975,159,350,,,32,40,31,88,105,33,0,79,64,350,.454,,.800,10.6,3.8,1.0,1.1
10,Omer Asik,2011,2012,2,148,1960,157,297,0,0,120,248,239,656,64,50,124,132,274,434,.529,,.484,13.2,2.9,4.4,0.4
11,D.J. Augustin,2014,2014,1,61,1857,291,694,132,321,195,221,15,126,303,52,3,116,140,909,.419,.411,.882,30.4,14.9,2.1,5.0
12,Dennis Awtrey,1973,1980,3,173,2966,235,481,0,0,171,293,78,722,348,34,29,27,420,641,.489,,.584,17.1,3.7,4.2,2.0
13,Dalibor Bagaric,2001,2003,3,95,973,97,269,0,2,57,102,84,238,37,29,43,72,163,251,.361,.000,.559,10.2,2.6,2.5,0.4
14,Cameron Bairstow,2015,2016,2,24,86,6,25,0,2,4,5,9,16,1,2,1,3,12,16,.240,.000,.800,3.6,0.7,0.7,0.0
