Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Zaid Abdul-Aziz,1977,1977,1,22,195,25,74,,,33,43,41,90,7,3,9,,21,83,.338,,.767,8.9,3.8,4.1,0.3
2,Alex Acker,2009,2009,1,18,179,26,65,7,16,4,8,8,22,11,3,3,7,9,63,.400,.438,.500,9.9,3.5,1.2,0.6
3,Don Adams,1976,1977,2,133,2414,283,696,,,169,230,168,516,223,104,23,,329,735,.407,,.735,18.2,5.5,3.9,1.7
4,Mark Aguirre,1994,1994,1,39,859,163,348,37,93,50,72,28,116,104,21,8,70,98,413,.468,.398,.694,22.0,10.6,3.0,2.7
5,Cole Aldrich,2016,2016,1,13,118,21,39,0,0,10,15,5,40,11,11,8,11,23,52,.538,,.667,9.1,4.0,3.1,0.8
6,Al-Farouq Aminu,2011,2011,1,81,1452,160,406,45,143,92,119,75,267,60,59,25,103,121,457,.394,.315,.773,17.9,5.6,3.3,0.7
7,Derek Anderson,2000,2000,1,64,2201,377,860,55,178,271,309,80,258,220,90,11,167,149,1080,.438,.309,.877,34.4,16.9,4.0,3.4
8,Kenny Anderson,2005,2005,1,4,26,4,11,0,0,0,0,1,5,5,0,0,3,6,8,.364,,,6.5,2.0,1.3,1.3
9,Richard Anderson,1983,1983,1,78,1274,174,431,7,19,48,69,111,272,120,57,26,93,170,403,.404,.368,.696,16.3,5.2,3.5,1.5
10,Isaac Austin,1998,1998,1,26,895,154,339,0,5,88,135,80,227,88,18,22,89,69,396,.454,.000,.652,34.4,15.2,8.7,3.4
11,Anthony Avent,2000,2000,1,49,377,29,96,0,0,23,32,23,74,11,16,15,24,62,81,.302,,.719,7.7,1.7,1.5,0.2
12,Bird Averitt,1977,1978,2,109,1812,363,915,,,185,265,30,128,262,52,13,88,213,911,.397,,.698,16.6,8.4,1.2,2.4
13,Maurice Baker,2005,2005,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0
14,Vin Baker,2006,2006,1,8,85,7,15,0,0,13,18,2,19,4,4,4,9,13,27,.467,,.722,10.6,3.4,2.4,0.5
15,Cedric Ball,1991,1991,1,7,26,3,8,0,0,2,2,5,11,0,0,2,2,5,8,.375,,1.000,3.7,1.1,1.6,0.0
16,Ken Bannister,1989,1991,3,108,1058,142,278,0,3,107,228,79,241,30,29,16,77,182,391,.511,.000,.469,9.8,3.6,2.2,0.3
17,Marvin Barnes,1978,1980,2,68,1664,250,603,0,0,130,185,141,425,135,62,84,125,250,630,.415,,.703,24.5,9.3,6.3,2.0
18,Matt Barnes,2004,2015,4,257,6788,883,1964,346,997,270,363,275,1111,410,232,144,306,734,2382,.450,.347,.744,26.4,9.3,4.3,1.6
19,Andre Barrett,2008,2008,1,4,25,2,5,1,3,1,2,0,1,7,0,0,1,1,6,.400,.333,.500,6.3,1.5,0.3,1.8
20,Brent Barry,1996,1998,3,179,4333,628,1420,257,664,290,352,95,421,516,196,60,291,372,1803,.442,.387,.824,24.2,10.1,2.4,2.9
21,Benoit Benjamin,1986,1991,6,406,12724,2066,4127,1,16,1272,1741,822,3538,776,316,1117,1114,1288,5405,.501,.063,.731,31.3,13.3,8.7,1.9
22,Mario Bennett,2000,2000,1,1,3,0,3,0,0,0,0,1,2,0,0,0,0,1,0,.000,,,3.0,0.0,2.0,0.0
23,Henry Bibby,1981,1981,1,73,1112,118,306,32,95,67,98,25,74,200,47,2,76,85,335,.386,.337,.684,15.2,4.6,1.0,2.7
24,Bob Bigelow,1979,1979,1,29,413,36,90,,,13,21,15,46,25,12,2,18,37,85,.400,,.619,14.2,2.9,1.6,0.9
25,Chauncey Billups,2012,2013,2,42,1025,136,360,81,215,130,143,6,82,129,21,4,64,65,483,.378,.377,.909,24.4,11.5,2.0,3.1
26,Steve Blake,2010,2010,1,29,762,74,167,38,87,12,16,6,69,177,21,4,63,39,198,.443,.437,.750,26.3,6.8,2.4,6.1
27,Eric Bledsoe,2011,2013,3,197,3858,508,1180,69,224,233,311,168,513,588,232,95,378,300,1318,.431,.308,.749,19.6,6.7,2.6,3.0
