Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Mahmoud Abdul-Rauf,2001,2001,1,41,486,120,246,4,14,22,29,5,25,76,9,1,26,50,266,.488,.286,.759,11.9,6.5,0.6,1.9
2,Shareef Abdur-Rahim,1997,2001,5,375,14237,2787,6011,80,274,2147,2680,950,3070,1081,416,374,1148,1019,7801,.464,.292,.801,38.0,20.8,8.2,2.9
3,Jordan Adams,2015,2016,2,32,263,37,92,10,26,17,28,9,30,19,19,7,16,26,101,.402,.385,.607,8.2,3.2,0.9,0.6
4,Tony Allen,2011,2016,6,357,8722,1249,2634,41,167,586,830,513,1391,488,616,178,477,883,3125,.474,.246,.706,24.4,8.8,3.9,1.4
5,Ashraf Amaya,1996,1996,1,54,1104,121,252,0,1,97,149,114,303,33,22,10,57,151,339,.480,.000,.651,20.4,6.3,5.6,0.6
6,Nick Anderson,2002,2002,1,15,219,21,76,13,48,5,9,1,33,14,6,6,14,17,60,.276,.271,.556,14.6,4.0,2.2,0.9
7,Greg Anthony,1996,1997,2,134,3959,523,1288,178,509,359,475,54,358,883,245,15,289,259,1583,.406,.350,.756,29.5,11.8,2.7,6.6
8,Robert Archibald,2003,2003,1,12,72,6,20,0,0,7,18,6,17,3,0,3,7,9,19,.300,,.389,6.0,1.6,1.4,0.3
9,Gilbert Arenas,2012,2012,1,17,211,26,64,13,39,7,10,2,18,18,11,1,12,35,72,.406,.333,.700,12.4,4.2,1.1,1.1
10,Darrell Arthur,2009,2013,4,247,4500,726,1565,5,27,199,270,328,967,144,142,162,200,620,1656,.464,.185,.737,18.2,6.7,3.9,0.6
11,Chucky Atkins,2006,2007,2,118,3225,470,1114,180,488,359,443,29,214,475,79,6,184,230,1479,.422,.369,.810,27.3,12.5,1.8,4.0
12,Isaac Austin,2001,2002,2,73,1152,132,362,6,27,32,44,61,293,71,29,28,65,130,302,.365,.222,.727,15.8,4.1,4.0,1.0
13,Anthony Avent,1996,1996,1,71,1586,179,466,0,0,57,77,108,355,69,30,42,107,202,415,.384,,.740,22.3,5.8,5.0,1.0
14,Matt Barnes,2016,2016,1,33,846,103,256,44,138,33,41,34,166,50,39,26,42,101,283,.402,.319,.805,25.6,8.6,5.0,1.5
15,Mike Batiste,2003,2003,1,75,1248,197,467,18,81,69,88,82,257,52,42,16,69,120,481,.422,.222,.784,16.6,6.4,3.4,0.7
16,Shane Battier,2002,2011,6,419,13339,1546,3408,403,1062,780,1045,764,2000,716,523,428,460,1064,4275,.454,.379,.746,31.8,10.2,4.8,1.7
