Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
2,Shareef Abdur-Rahim,2002,2004,3,211,8023,1547,3270,47,153,1168,1398,514,1868,608,229,138,593,601,4309,.473,.307,.835,38.0,20.4,8.9,2.9
3,Don Adams,1972,1973,2,74,2106,315,817,,,211,281,,516,142,,,,270,841,.386,,.751,28.5,11.4,7.0,1.9
4,Derrick Alston,1997,1997,1,2,11,0,5,0,0,0,2,3,4,0,0,0,0,0,0,.000,,.000,5.5,0.0,2.0,0.0
5,Greg Anderson,1995,1998,2,101,1020,93,185,0,5,50,112,101,306,32,42,42,49,188,236,.503,.000,.446,10.1,2.3,3.0,0.3
6,Kenny Anderson,2005,2005,1,39,717,81,190,6,13,27,37,23,83,98,33,0,46,81,195,.426,.462,.730,18.4,5.0,2.1,2.5
7,Pero Antic,2014,2015,2,113,1962,231,590,108,344,138,189,115,398,107,37,26,104,258,708,.392,.314,.730,17.4,6.3,3.5,0.9
8,Stacey Arceneaux,1962,1962,1,7,110,22,56,,,6,13,,32,4,,,,10,50,.393,,.462,15.7,7.1,4.6,0.6
9,Hilton Armstrong,2011,2011,1,12,76,6,12,1,1,2,10,3,17,4,3,5,3,9,15,.500,1.000,.200,6.3,1.3,1.4,0.3
10,Stacey Augmon,1992,1996,5,390,11878,2035,4166,10,47,1276,1726,804,1773,892,570,168,775,832,5356,.488,.213,.739,30.5,13.7,4.5,2.3
11,Gustavo Ayon,2014,2014,1,26,429,52,102,0,0,8,20,42,125,28,25,10,29,47,112,.510,,.400,16.5,4.3,4.8,1.1
12,John Bagley,1994,1994,1,3,13,0,2,0,0,2,2,0,1,3,0,0,0,2,2,.000,,1.000,4.3,0.7,0.3,1.0
13,John Barber,1957,1957,1,5,19,2,8,,,3,6,,6,0,,,,4,7,.250,,.500,3.8,1.4,1.2,0.0
14,Tom Barker,1977,1977,1,59,1354,182,436,,,112,164,111,401,60,33,41,,223,476,.417,,.683,22.9,8.1,6.8,1.0
15,John Barnhill,1963,1966,4,223,5527,793,1898,,,350,526,,698,626,,,,389,1936,.418,,.665,24.8,8.7,3.1,2.8
16,Drew Barry,1998,2000,2,35,330,24,53,13,30,14,16,5,39,65,10,1,37,37,75,.453,.433,.875,9.4,2.1,1.1,1.9
17,Jon Barry,1997,2005,2,74,1240,131,323,59,156,47,59,30,120,143,69,5,73,84,368,.406,.378,.797,16.8,5.0,1.6,1.9
18,Esteban Batista,2006,2007,2,70,576,42,96,0,1,37,60,68,174,11,18,11,42,124,121,.438,.000,.617,8.2,1.7,2.5,0.2
19,John Battle,1986,1991,6,416,7682,1482,3184,43,154,875,1106,145,633,924,198,31,488,625,3882,.465,.279,.791,18.5,9.3,1.5,2.2
20,Sergei Bazarevich,1995,1995,1,10,74,11,22,1,6,7,9,1,7,14,1,1,7,10,30,.500,.167,.778,7.4,3.0,0.7,1.4
21,Kent Bazemore,2015,2016,2,104,2152,273,612,94,243,117,166,27,356,147,93,48,117,191,757,.446,.387,.705,20.7,7.3,3.4,1.4
22,Ed Beach,1951,1951,1,1,,0,3,,,0,0,,0,1,,,,0,0,.000,,,,0.0,0.0,1.0
23,Butch Beard,1970,1970,1,72,941,183,392,,,135,163,,140,121,,,,124,501,.467,,.828,13.1,7.0,1.9,1.7
24,Zelmo Beaty,1963,1969,7,501,17135,3260,6927,,,2207,2952,,5622,765,,,,2002,8727,.471,,.748,34.2,17.4,11.2,1.5
