Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Tariq Abdul-Wahad,2000,2000,1,46,1205,223,515,2,21,115,151,77,239,72,53,16,87,116,563,.433,.095,.762,26.2,12.2,5.2,1.6
2,Mark Acres,1990,1992,3,216,3930,325,650,5,10,200,288,391,1042,114,86,65,145,606,855,.500,.500,.694,18.2,4.0,4.8,0.5
3,Arron Afflalo,2013,2014,2,137,4859,861,1916,200,540,465,559,61,501,454,75,14,284,273,2387,.449,.370,.832,35.5,17.4,3.7,3.3
4,Cory Alexander,2001,2001,1,26,227,18,56,4,16,12,18,0,25,36,16,0,25,29,52,.321,.250,.667,8.7,2.0,1.0,1.4
5,Malik Allen,2011,2011,1,18,178,11,31,0,0,1,2,12,32,4,1,4,3,30,23,.355,,.500,9.9,1.3,1.8,0.2
6,Rafer Alston,2009,2009,1,29,856,123,298,32,101,70,99,8,83,148,51,3,52,63,348,.413,.317,.707,29.5,12.0,2.9,5.1
7,John Amaechi,2000,2001,2,162,3394,543,1292,1,13,399,570,139,534,169,63,66,263,336,1486,.420,.077,.700,21.0,9.2,3.3,1.0
8,Nick Anderson,1990,1999,10,692,22440,4075,8976,900,2480,1600,2376,924,3667,1937,1004,338,1242,1354,10650,.454,.363,.673,32.4,15.4,5.3,2.8
9,Ryan Anderson,2010,2012,3,188,4299,727,1670,378,974,316,370,423,1028,143,105,78,162,364,2148,.435,.388,.854,22.9,11.4,5.5,0.8
10,Michael Ansley,1990,1991,2,139,2098,375,728,0,0,255,354,309,615,65,51,24,82,277,1005,.515,,.720,15.1,7.2,4.4,0.5
11,Robert Archibald,2004,2004,1,1,4,1,2,0,0,0,2,0,1,0,1,0,0,0,2,.500,,.000,4.0,2.0,1.0,0.0
12,Gilbert Arenas,2011,2011,1,49,1070,139,404,50,182,64,86,16,119,157,44,9,106,112,392,.344,.275,.744,21.8,8.0,2.4,3.2
13,Trevor Ariza,2006,2008,3,89,1683,246,482,0,12,149,236,132,354,88,78,24,105,165,641,.510,.000,.631,18.9,7.2,4.0,1.0
14,B.J. Armstrong,1999,1999,1,22,180,19,45,1,7,9,11,1,23,34,9,0,15,15,48,.422,.143,.818,8.2,2.2,1.0,1.5
15,Darrell Armstrong,1995,2003,9,502,14234,2044,4879,654,1892,1156,1302,487,1645,2555,830,63,1159,932,5898,.419,.346,.888,28.4,11.7,3.3,5.1
16,Carlos Arroyo,2006,2008,3,161,3167,471,1047,48,149,283,347,50,307,498,84,5,205,258,1273,.450,.322,.816,19.7,7.9,1.9,3.1
17,Chucky Atkins,2000,2000,1,82,1626,314,741,57,163,97,133,20,126,306,52,3,142,137,782,.424,.350,.729,19.8,9.5,1.5,3.7
18,Stacey Augmon,2005,2006,2,91,1048,93,240,0,0,78,107,63,152,59,35,14,42,123,264,.388,,.729,11.5,2.9,1.7,0.6
19,James Augustine,2007,2008,2,27,156,19,37,0,0,4,8,17,33,4,5,2,6,20,42,.514,,.500,5.8,1.6,1.2,0.1
20,Isaac Austin,1999,1999,1,49,1259,185,453,2,7,105,157,83,237,89,47,35,114,125,477,.408,.286,.669,25.7,9.7,4.8,1.8
21,Anthony Avent,1994,1995,2,112,1742,163,414,0,0,76,119,181,477,73,45,61,95,257,402,.394,,.639,15.6,3.6,4.3,0.7
22,Gustavo Ayon,2013,2013,1,43,571,67,125,0,0,19,38,40,140,59,13,13,38,83,153,.536,,.500,13.3,3.6,3.3,1.4
23,Matt Barnes,2010,2010,1,81,2097,271,557,66,207,108,146,106,445,134,59,30,112,185,716,.487,.319,.740,25.9,8.8,5.5,1.7
24,Andre Barrett,2005,2005,1,11,169,25,55,5,15,7,9,6,21,27,5,1,11,16,62,.455,.333,.778,15.4,5.6,1.9,2.5
25,Brandon Bass,2010,2011,2,126,2628,451,878,0,2,242,296,188,551,76,39,79,128,228,1144,.514,.000,.818,20.9,9.1,4.4,0.6
26,Tony Battie,2005,2009,4,306,6886,777,1589,2,22,263,387,438,1531,157,131,205,276,791,1819,.489,.091,.680,22.5,5.9,5.0,0.5
27,David Benoit,1998,1998,1,24,324,50,139,14,51,24,30,18,62,8,9,4,13,37,138,.360,.275,.800,13.5,5.8,2.6,0.3
28,Keith Bogans,2004,2009,4,250,5762,586,1462,310,859,214,300,179,787,292,156,24,193,451,1696,.401,.361,.713,23.0,6.8,3.1,1.2
29,Anthony Bonner,1996,1996,1,4,43,5,15,0,0,3,7,6,19,4,3,0,3,11,13,.333,,.429,10.8,3.3,4.8,1.0
30,Anthony Bowie,1992,1996,5,350,6769,1024,2132,57,181,326,388,229,821,704,222,95,390,563,2431,.480,.315,.840,19.3,6.9,2.3,2.0
31,Earl Boykins,2000,2000,1,1,8,3,4,0,0,0,0,1,1,3,0,0,0,0,6,.750,,,8.0,6.0,1.0,3.0
32,Michael Bradley,2005,2005,1,8,55,3,7,0,0,0,0,3,14,2,1,2,1,4,6,.429,,,6.9,0.8,1.8,0.3
33,Dee Brown,2001,2002,2,14,220,19,64,13,44,4,5,0,20,14,7,1,11,14,55,.297,.295,.800,15.7,3.9,1.4,1.0
34,Jud Buechler,2002,2002,1,60,630,42,112,19,54,2,4,27,108,29,20,8,14,46,105,.375,.352,.500,10.5,1.8,1.8,0.5
35,Pat Burke,2003,2003,1,62,783,113,296,1,7,40,58,57,146,23,19,25,47,99,267,.382,.143,.690,12.6,4.3,2.4,0.4
36,Vince Carter,2010,2011,2,97,2974,559,1281,146,402,313,381,44,383,300,73,21,142,259,1577,.436,.363,.822,30.7,16.3,3.9,3.1
37,Terry Catledge,1990,1993,4,224,6613,1331,2779,2,17,769,1124,714,1513,244,132,43,451,541,3433,.479,.118,.684,29.5,15.3,6.8,1.1
38,Kelvin Cato,2005,2006,2,85,1824,191,369,0,0,138,178,121,479,42,61,92,80,218,520,.518,,.775,21.5,6.1,5.6,0.5
39,Doug Christie,2005,2005,1,21,529,47,128,5,23,20,22,9,54,46,37,5,36,45,119,.367,.217,.909,25.2,5.7,2.6,2.2
40,Earl Clark,2011,2012,2,78,951,107,266,0,5,43,66,68,208,23,19,47,51,111,257,.402,.000,.652,12.2,3.3,2.7,0.3
41,Anthony Cook,1994,1994,1,2,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,.000,,,1.0,0.0,0.0,0.0
42,Brian Cook,2008,2009,2,66,705,107,273,52,130,20,23,30,126,28,14,12,46,110,286,.392,.400,.870,10.7,4.3,1.9,0.4
43,Chris Corchiani,1992,1993,2,60,843,90,216,10,40,107,125,19,85,157,51,2,82,111,297,.417,.250,.856,14.1,5.0,1.4,2.6
44,Dave Corzine,1990,1990,1,6,79,11,29,0,0,0,2,7,18,2,2,0,8,7,22,.379,,.000,13.2,3.7,3.0,0.3
45,Glen Davis,2012,2014,3,140,3845,671,1524,6,26,275,398,249,859,187,121,62,198,305,1623,.440,.231,.691,27.5,11.6,6.1,1.3
46,Andrew DeClercq,2001,2005,5,284,4123,420,825,0,0,187,293,445,1065,150,152,125,224,817,1027,.509,,.638,14.5,3.6,3.8,0.5
47,Dewayne Dedmon,2014,2016,3,96,1352,144,275,0,1,67,110,165,450,13,32,84,71,229,355,.524,.000,.609,14.1,3.7,4.7,0.1
48,Bison Dele,1992,1993,2,69,1145,211,402,0,1,111,162,139,328,38,55,70,111,187,533,.525,.000,.685,16.6,7.7,4.8,0.6
49,Dell Demps,1997,1997,1,2,10,0,3,0,1,2,2,0,0,0,1,0,0,1,2,.000,.000,1.000,5.0,1.0,0.0,0.0
