Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Tariq Abdul-Wahad,2002,2003,2,18,228,27,60,0,1,3,7,16,46,23,8,4,10,31,57,.450,.000,.429,12.7,3.2,2.6,1.3
2,Maurice Ager,2007,2008,2,44,291,27,97,5,23,25,39,2,25,11,4,4,18,38,84,.278,.217,.641,6.6,1.9,0.6,0.3
3,Mark Aguirre,1982,1989,8,566,19154,5441,11060,233,765,2815,3793,1259,3244,2163,502,224,1746,1718,13930,.492,.305,.742,33.8,24.6,5.7,3.8
4,Alexis Ajinca,2011,2011,1,10,75,12,32,3,7,2,3,5,17,2,3,5,1,13,29,.375,.429,.667,7.5,2.9,1.7,0.2
5,Josh Akognon,2013,2013,1,3,9,2,4,1,2,0,0,0,1,1,0,0,0,3,5,.500,.500,,3.0,1.7,0.3,0.3
6,Courtney Alexander,2001,2001,1,38,472,62,178,3,10,33,45,20,63,21,16,3,21,76,160,.348,.300,.733,12.4,4.2,1.7,0.6
7,Steve Alford,1988,1991,4,112,773,146,321,15,55,78,87,15,75,93,41,7,45,59,385,.455,.273,.897,6.9,3.4,0.7,0.8
8,Malik Allen,2008,2008,1,25,333,33,66,0,0,11,12,24,68,15,4,10,13,60,77,.500,,.917,13.3,3.1,2.7,0.6
9,Darrell Allums,1981,1981,1,22,276,23,67,0,1,13,22,19,65,25,5,8,23,51,59,.343,.000,.591,12.5,2.7,3.0,1.1
10,Al-Farouq Aminu,2015,2015,1,74,1366,147,357,34,124,84,118,114,342,59,70,62,55,137,412,.412,.274,.712,18.5,5.6,4.6,0.8
11,Justin Anderson,2016,2016,1,19,119,16,40,4,19,5,10,1,19,3,2,3,9,10,41,.400,.211,.500,6.3,2.2,1.0,0.2
12,Chris Anstey,1998,1999,2,82,1150,142,370,3,23,87,122,88,254,62,49,40,67,193,374,.384,.130,.713,14.0,4.6,3.1,0.8
13,Darrell Armstrong,2005,2006,2,114,1198,79,246,22,89,72,89,37,148,199,57,9,97,133,252,.321,.247,.809,10.5,2.2,1.3,1.7
14,Kelenna Azubuike,2012,2012,1,3,18,3,8,1,3,0,0,0,0,0,1,0,4,1,7,.375,.333,,6.0,2.3,0.0,0.0
15,Steve Bardo,1993,1993,1,23,175,19,62,1,6,12,17,10,37,29,8,3,17,28,51,.306,.167,.706,7.6,2.2,1.6,1.3
16,J.J. Barea,2007,2016,7,420,7447,1195,2766,295,835,433,535,126,743,1311,162,17,510,592,3118,.432,.353,.809,17.7,7.4,1.8,3.1
17,Brandon Bass,2008,2009,2,160,3131,498,1001,0,10,344,407,249,714,101,49,103,168,290,1340,.498,.000,.845,19.6,8.4,4.5,0.6
18,Rodrigue Beaubois,2010,2013,4,182,2896,502,1143,129,397,153,189,47,338,374,124,52,204,312,1286,.439,.325,.810,15.9,7.1,1.9,2.1
19,Charlie Bell,2002,2002,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,1.0,0.0,0.5,0.0
20,Raja Bell,2003,2003,1,75,1173,93,211,21,51,23,34,47,145,57,52,8,43,134,230,.441,.412,.676,15.6,3.1,1.9,0.8
21,Travis Best,2004,2004,1,61,762,64,172,3,20,40,46,17,68,112,31,4,33,66,171,.372,.150,.870,12.5,2.8,1.1,1.8
22,Uwe Blab,1986,1989,4,188,1435,146,329,0,0,115,185,99,305,77,18,63,106,242,407,.444,,.622,7.6,2.2,1.6,0.4
23,Rolando Blackman,1982,1992,11,865,29684,6487,13061,168,510,3501,4166,1001,3083,2748,668,258,1720,1405,16643,.497,.329,.840,34.3,19.2,3.6,3.2
24,DeJuan Blair,2014,2014,1,78,1214,210,393,0,2,77,121,139,368,70,60,21,77,192,497,.534,.000,.636,15.6,6.4,4.7,0.9
25,Walter Bond,1993,1993,1,74,1578,227,565,7,42,129,167,52,196,122,75,18,112,223,590,.402,.167,.772,21.3,8.0,2.6,1.6
26,Calvin Booth,2001,2005,2,49,555,80,163,0,1,34,49,40,130,23,23,46,25,110,194,.491,.000,.694,11.3,4.0,2.7,0.5
27,Winford Boynes,1981,1981,1,44,757,121,313,0,0,45,55,24,75,37,23,16,69,79,287,.387,,.818,17.2,6.5,1.7,0.8
28,Shawn Bradley,1997,2005,9,582,12224,1611,3422,3,24,822,1079,1063,3340,339,361,1250,526,1651,4047,.471,.125,.762,21.0,7.0,5.7,0.6
29,Elton Brand,2013,2013,1,72,1527,226,478,0,1,66,93,130,430,70,50,90,57,192,518,.473,.000,.710,21.2,7.2,6.0,1.0
30,Corey Brewer,2011,2011,1,13,148,25,51,4,13,15,21,12,23,12,11,2,10,25,69,.490,.308,.714,11.4,5.3,1.8,0.9
31,Allan Bristow,1982,1983,2,119,2406,262,598,9,31,144,178,143,398,518,71,7,196,268,677,.438,.290,.809,20.2,5.7,3.3,4.4
32,Scott Brooks,1995,1996,2,100,1338,225,503,42,114,105,127,24,94,194,68,6,76,95,597,.447,.368,.827,13.4,6.0,0.9,1.9
33,Chucky Brown,1994,1994,1,1,10,1,1,0,0,1,1,0,1,0,0,0,0,2,3,1.000,,1.000,10.0,3.0,1.0,0.0
34,Mark Bryant,2001,2001,1,18,101,8,20,0,0,3,5,4,21,3,1,2,5,29,19,.400,,.600,5.6,1.1,1.2,0.2
35,Wallace Bryant,1985,1986,2,65,1014,78,178,0,0,36,55,83,274,95,24,26,53,136,192,.438,,.655,15.6,3.0,4.2,1.5
36,Greg Buckner,2000,2007,4,205,4000,422,922,49,152,169,236,218,662,222,149,55,130,542,1062,.458,.322,.716,19.5,5.2,3.2,1.1
37,Caron Butler,2010,2011,2,56,1797,327,735,45,115,147,192,58,263,95,76,17,96,126,846,.445,.391,.766,32.1,15.1,4.7,1.7
38,Marty Byrnes,1981,1981,1,72,1360,216,451,9,20,120,157,74,177,113,29,17,61,126,561,.479,.450,.764,18.9,7.8,2.5,1.6
39,Jose Calderon,2014,2014,1,81,2468,341,748,191,425,52,63,29,192,377,69,11,103,136,925,.456,.449,.825,30.5,11.4,2.4,4.7
40,Adrian Caldwell,1998,1998,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.0,0.0,0.0,0.0
41,Dexter Cambridge,1993,1993,1,53,885,151,312,0,4,68,99,88,167,58,24,6,63,128,370,.484,.000,.687,16.7,7.0,3.2,1.1
42,Tony Campbell,1994,1994,1,41,835,164,384,6,25,64,83,48,126,51,30,14,55,75,398,.427,.240,.771,20.4,9.7,3.1,1.2
43,Brian Cardinal,2011,2012,2,100,895,57,155,52,136,22,24,14,93,56,32,9,25,120,188,.368,.382,.917,9.0,1.9,0.9,0.6
44,Matt Carroll,2009,2010,2,46,262,27,83,5,27,12,12,6,26,9,8,1,14,27,71,.325,.185,1.000,5.7,1.5,0.6,0.2
45,Austin Carr,1981,1981,1,8,77,7,28,0,0,2,4,4,9,9,1,0,9,10,16,.250,,.500,9.6,2.0,1.1,1.1
46,Howard Carter,1985,1985,1,11,66,4,23,0,3,1,1,1,3,4,1,0,8,4,9,.174,.000,1.000,6.0,0.8,0.3,0.4
47,Vince Carter,2012,2014,3,223,5608,925,2208,382,975,438,534,157,823,545,191,104,298,569,2670,.419,.392,.820,25.1,12.0,3.7,2.4
48,Sam Cassell,1997,1997,1,16,398,70,165,15,49,42,50,14,50,57,17,6,41,48,197,.424,.306,.840,24.9,12.3,3.1,3.6
49,Cedric Ceballos,1998,2000,3,94,2780,581,1299,61,182,290,358,219,619,127,74,37,186,217,1513,.447,.335,.810,29.6,16.1,6.6,1.4
50,Tyson Chandler,2011,2015,2,149,4345,559,847,0,0,401,552,500,1556,116,78,171,193,409,1519,.660,,.726,29.2,10.2,10.4,0.8
51,Doug Christie,2006,2006,1,7,185,9,26,0,1,8,12,2,13,14,9,1,6,10,26,.346,.000,.667,26.4,3.7,1.9,2.0
52,Darren Collison,2013,2013,1,81,2372,341,724,48,136,242,275,31,219,415,100,8,173,139,972,.471,.353,.880,29.3,12.0,2.7,5.1
53,Wayne Cooper,1982,1982,1,76,1818,281,669,1,8,119,160,200,550,115,37,106,88,285,682,.420,.125,.744,23.9,9.0,7.2,1.5
