Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Hassan Adams,2007,2007,1,61,495,75,135,0,1,24,36,35,77,13,17,4,22,47,174,.556,.000,.667,8.1,2.9,1.3,0.2
2,Rafael Addison,1992,1993,2,144,2339,369,843,21,83,113,146,110,297,121,51,39,110,234,872,.438,.253,.774,16.2,6.1,2.1,0.8
3,Maurice Ager,2008,2009,2,34,185,31,81,3,17,5,14,6,19,7,1,2,7,23,70,.383,.176,.357,5.4,2.1,0.6,0.2
4,Malik Allen,2008,2008,1,48,763,124,261,1,2,12,13,42,128,29,15,21,32,89,261,.475,.500,.923,15.9,5.4,2.7,0.6
5,Rafer Alston,2010,2010,1,27,766,95,277,28,87,44,54,9,75,104,27,5,61,50,262,.343,.322,.815,28.4,9.7,2.8,3.9
6,Alan Anderson,2014,2015,2,152,3517,389,925,157,458,174,219,71,379,164,104,16,122,295,1109,.421,.343,.795,23.1,7.3,2.5,1.1
7,Dan Anderson,1968,1969,2,103,3303,564,1171,0,0,298,411,382,1073,126,,,174,412,1426,.482,,.725,32.1,13.8,10.4,1.2
8,Greg Anderson,1991,1991,1,1,18,4,4,0,0,0,0,4,6,1,2,0,1,4,8,1.000,,,18.0,8.0,6.0,1.0
9,Kenny Anderson,1992,1996,5,304,9962,1687,4122,183,563,1098,1355,288,1026,2363,476,57,799,666,4655,.409,.325,.810,32.8,15.3,3.4,7.8
10,Ron Anderson,1994,1994,1,11,176,15,43,4,12,10,12,8,26,6,5,2,1,9,44,.349,.333,.833,16.0,4.0,2.4,0.5
11,Ryan Anderson,2009,2009,1,66,1312,160,407,69,189,98,116,104,311,52,44,20,63,157,487,.393,.365,.845,19.9,7.4,4.7,0.8
12,Tiny Archibald,1977,1977,1,34,1277,250,560,,,197,251,22,80,254,59,11,,77,697,.446,,.785,37.6,20.5,2.4,7.5
13,Jim Ard,1971,1973,3,186,2598,386,875,2,15,190,309,284,853,88,,,235,319,964,.441,.133,.615,14.0,5.2,4.6,0.5
14,Brandon Armstrong,2002,2004,3,108,699,101,287,25,75,12,20,22,63,24,22,4,37,83,239,.352,.333,.600,6.5,2.2,0.6,0.2
15,Darrell Armstrong,2008,2008,1,50,549,40,110,23,69,20,30,17,67,73,28,2,41,53,123,.364,.333,.667,11.0,2.5,1.3,1.5
16,Bob Arnzen,1970,1970,1,13,98,19,48,0,1,2,6,12,22,5,,,8,11,40,.396,.000,.333,7.5,3.1,1.7,0.4
17,Vincent Askew,1997,1997,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,7.0,0.0,0.0,0.0
18,Johnny Austin,1968,1968,1,41,692,108,279,0,11,101,140,,64,58,,,57,110,317,.387,.000,.721,16.9,7.7,1.6,1.4
19,Bird Averitt,1978,1978,1,21,409,69,188,,,36,45,7,33,68,17,1,55,37,174,.367,,.800,19.5,8.3,1.6,3.2
20,John Bagley,1988,1989,2,150,4416,593,1377,58,215,237,303,97,401,870,182,15,360,279,1481,.431,.270,.782,29.4,9.9,2.7,5.8
