Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Mahmoud Abdul-Rauf,1991,1996,6,439,12481,2880,6500,371,1048,898,980,192,903,1756,406,38,799,851,7029,.443,.354,.916,28.4,16.0,2.1,4.0
2,Tariq Abdul-Wahad,2000,2002,3,64,1210,149,387,6,14,76,110,77,189,70,38,34,77,136,380,.385,.429,.691,18.9,5.9,3.0,1.1
3,Michael Adams,1988,1991,4,304,10601,1842,4419,630,1841,1220,1435,218,987,2181,602,36,705,582,5534,.417,.342,.850,34.9,18.2,3.2,7.2
4,Arron Afflalo,2010,2015,4,266,8381,1194,2568,383,961,534,659,165,880,556,148,79,313,620,3305,.465,.399,.810,31.5,12.4,3.3,2.1
5,Mark Alarie,1987,1987,1,64,1110,217,443,2,9,67,101,73,214,74,22,28,56,138,503,.490,.222,.663,17.3,7.9,3.3,1.2
6,Cory Alexander,1998,2000,3,88,1904,236,613,85,252,109,131,25,215,315,104,13,162,161,666,.385,.337,.832,21.6,7.6,2.4,3.6
7,Jerome Allen,1997,1997,1,25,251,21,74,7,34,15,25,12,33,43,4,4,13,17,64,.284,.206,.600,10.0,2.6,1.3,1.7
8,Malik Allen,2010,2010,1,51,456,46,116,1,6,12,13,36,82,16,11,5,22,68,105,.397,.167,.923,8.9,2.1,1.6,0.3
9,Chris Andersen,2002,2012,7,378,6571,672,1350,2,20,592,909,669,1940,164,196,624,291,720,1938,.498,.100,.651,17.4,5.1,5.1,0.4
10,Cliff Anderson,1970,1970,1,3,22,2,4,0,0,2,6,1,4,4,,,3,3,6,.500,,.333,7.3,2.0,1.3,1.3
11,Dwight Anderson,1983,1983,1,5,33,7,14,0,0,7,10,0,2,3,1,0,5,7,21,.500,,.700,6.6,4.2,0.4,0.6
12,Greg Anderson,1991,1992,2,123,3452,474,1047,0,4,211,355,404,1178,90,113,101,262,370,1159,.453,.000,.594,28.1,9.4,9.6,0.7
13,Richard Anderson,1984,1984,1,78,1380,272,638,3,19,116,150,136,406,193,46,28,109,183,663,.426,.158,.773,17.7,8.5,5.2,2.5
14,Carmelo Anthony,2004,2011,8,564,20521,4989,10877,410,1320,3582,4462,1102,3566,1729,634,260,1726,1693,13970,.459,.311,.803,36.4,24.8,6.3,3.1
15,Carlos Arroyo,2002,2002,1,20,275,36,82,0,2,9,12,9,28,49,5,1,11,18,81,.439,.000,.750,13.8,4.1,1.4,2.5
16,Darrell Arthur,2014,2016,3,157,2746,413,1002,63,203,107,134,143,487,143,111,97,127,407,996,.412,.310,.799,17.5,6.3,3.1,0.9
17,Vincent Askew,1997,1997,1,1,9,2,3,0,0,2,2,0,0,0,0,0,4,0,6,.667,,1.000,9.0,6.0,0.0,0.0
18,Chucky Atkins,2008,2009,2,38,467,51,149,30,96,8,13,3,37,75,11,2,20,32,140,.342,.313,.615,12.3,3.7,1.0,2.0
19,Renaldo Balkman,2009,2011,3,71,915,121,224,2,14,47,75,91,230,43,58,27,41,125,291,.540,.143,.627,12.9,4.1,3.2,0.6
20,John Barnhill,1971,1971,1,24,684,101,255,18,72,54,73,20,54,77,,,40,55,274,.396,.250,.740,28.5,11.4,2.3,3.2
21,Jon Barry,2004,2004,1,57,1101,120,297,51,138,60,71,25,123,147,57,8,53,66,351,.404,.370,.845,19.3,6.2,2.2,2.6
22,Will Barton,2015,2016,2,62,1708,324,712,79,220,152,185,51,339,142,71,30,97,107,879,.455,.359,.822,27.5,14.2,5.5,2.3
23,Mengke Bateer,2002,2002,1,27,408,53,132,4,12,29,37,32,96,22,10,5,32,94,139,.402,.333,.784,15.1,5.1,3.6,0.8
24,Tony Battie,1998,1998,1,65,1506,234,525,3,14,73,104,138,351,60,54,69,98,199,544,.446,.214,.702,23.2,8.4,5.4,0.9
25,Kenny Battle,1991,1991,1,40,682,95,196,3,22,50,64,62,123,47,41,12,36,83,243,.485,.136,.781,17.1,6.1,3.1,1.2
26,Arthur Becker,1971,1972,2,113,2996,618,1319,1,5,238,282,247,680,144,,,168,378,1475,.469,.200,.844,26.5,13.1,6.0,1.3
27,Byron Beck,1968,1977,10,747,19197,3681,7295,13,44,1228,1515,1635,5261,978,170,43,933,2267,8603,.505,.295,.811,25.7,11.5,7.0,1.3
28,Elmer Bennett,1997,1997,1,5,59,4,13,2,6,2,4,0,3,7,2,0,10,6,12,.308,.333,.500,11.8,2.4,0.6,1.4
29,Chauncey Billups,1999,2011,5,259,8648,1265,3053,514,1311,1334,1463,100,712,1383,292,54,601,547,4378,.414,.392,.912,33.4,16.9,2.7,5.3
30,Steve Blake,2007,2007,1,49,1642,164,380,48,140,32,44,14,124,324,51,5,101,72,408,.432,.343,.727,33.5,8.3,2.5,6.6
31,Mark Blount,2003,2003,1,54,885,105,267,0,0,71,99,62,183,35,22,51,70,112,281,.393,,.717,16.4,5.2,3.4,0.6
32,Melvin Booker,1997,1997,1,5,21,2,4,1,2,0,0,0,1,3,0,0,7,0,5,.500,.500,,4.2,1.0,0.2,0.6
33,Tom Boswell,1979,1980,2,97,2723,393,738,1,2,256,354,288,652,288,55,59,224,319,1043,.533,.500,.723,28.1,10.8,6.7,3.0
34,Tommie Bowens,1968,1968,1,67,1287,177,453,1,2,55,90,,374,41,,,83,159,410,.391,.500,.611,19.2,6.1,5.6,0.6
35,Ryan Bowen,2000,2004,5,298,4359,388,818,8,39,171,242,388,770,174,234,111,128,490,955,.474,.205,.707,14.6,3.2,2.6,0.6
36,Earl Boykins,2004,2007,4,255,6430,1088,2629,214,626,692,770,123,430,1029,202,21,356,310,3082,.414,.342,.899,25.2,12.1,1.7,4.0
37,Jim Bradley,1976,1976,1,7,107,15,38,0,0,2,3,4,30,11,5,5,5,26,32,.395,,.667,15.3,4.6,4.3,1.6
38,Corey Brewer,2012,2013,2,141,3290,576,1346,124,434,239,346,98,385,212,190,40,158,267,1515,.428,.286,.691,23.3,10.7,2.7,1.5
39,Aaron Brooks,2014,2014,1,29,841,129,318,42,116,46,51,20,78,150,27,7,66,70,346,.406,.362,.902,29.0,11.9,2.7,5.2
40,Kevin Brooks,1992,1994,3,126,1031,172,429,12,60,61,71,40,141,48,18,6,69,84,417,.401,.200,.859,8.2,3.3,1.1,0.4
41,Michael Brooks,1988,1988,1,16,133,20,49,0,0,3,4,19,44,13,4,1,12,21,43,.408,,.750,8.3,2.7,2.8,0.8
42,Devin Brown,2003,2003,1,3,71,7,25,0,1,4,6,4,11,5,4,1,4,11,18,.280,.000,.667,23.7,6.0,3.7,1.7
43,Larry Brown,1971,1972,2,110,2825,328,792,10,44,310,380,64,228,757,,,332,303,976,.414,.227,.816,25.7,8.9,2.1,6.9
44,Roger Brown,1976,1976,1,37,291,28,61,2,2,16,24,25,75,22,8,22,17,63,74,.459,1.000,.667,7.9,2.0,2.0,0.6
45,Mark Bryant,2003,2003,1,3,14,0,1,0,0,1,2,1,2,2,0,0,2,4,1,.000,,.500,4.7,0.3,0.7,0.7
46,Greg Buckner,2005,2006,2,143,3280,341,720,135,364,106,136,97,417,260,162,26,101,349,923,.474,.371,.779,22.9,6.5,2.9,1.8
47,Larry Bunce,1969,1969,1,23,225,22,59,0,0,49,70,17,58,2,,,21,44,93,.373,,.700,9.8,4.0,2.5,0.1
48,David Burns,1982,1982,1,6,53,5,11,0,0,6,9,1,3,11,2,0,8,13,16,.455,,.667,8.8,2.7,0.5,1.8
49,David Bustion,1973,1973,1,47,355,58,133,0,0,42,59,39,101,21,,,54,82,158,.436,,.712,7.6,3.4,2.1,0.4
50,Mack Calvin,1975,1978,3,180,4076,730,1554,3,16,771,880,66,343,833,213,14,387,346,2234,.470,.188,.876,22.6,12.4,1.9,4.6
51,Marcus Camby,2003,2008,6,372,11777,1534,3319,9,44,671,938,943,4117,928,418,1126,560,1042,3748,.462,.205,.715,31.7,10.1,11.1,2.5
52,Larry Cannon,1971,1971,1,80,3097,751,1722,18,69,606,763,207,333,414,,,346,237,2126,.436,.261,.794,38.7,26.6,4.2,5.2
53,Frank Card,1972,1973,2,77,1479,231,510,0,1,121,185,145,337,79,,,118,208,583,.453,.000,.654,19.2,7.6,4.4,1.0
54,DeMarre Carroll,2012,2012,1,4,21,6,6,0,0,0,0,0,3,3,0,0,2,1,12,1.000,,,5.3,3.0,0.8,0.8
55,Joe Barry Carroll,1990,1990,1,30,719,153,354,0,0,52,70,51,193,54,28,59,78,70,358,.432,,.743,24.0,11.9,6.4,1.8
56,Anthony Carter,2007,2011,5,218,4796,474,1081,87,294,134,178,84,509,949,251,56,357,409,1169,.438,.296,.753,22.0,5.4,2.3,4.4
57,Howard Carter,1984,1984,1,55,688,145,316,5,19,47,61,38,86,71,19,4,42,81,342,.459,.263,.770,12.5,6.2,1.6,1.3
58,Wilson Chandler,2011,2015,5,212,6334,1067,2488,342,970,352,459,218,1133,357,169,102,304,608,2828,.429,.353,.767,29.9,13.3,5.3,1.7
59,Wayne Chapman,1971,1971,1,47,1049,184,484,11,48,89,129,43,143,107,,,100,127,468,.380,.229,.690,22.3,10.0,3.0,2.3
60,Calbert Cheaney,2001,2002,2,77,1784,234,496,0,4,47,69,62,260,119,38,23,75,170,515,.472,.000,.681,23.2,6.7,3.4,1.5
61,Ian Clark,2015,2015,1,7,31,4,11,1,5,4,4,0,3,2,3,1,2,8,13,.364,.200,1.000,4.4,1.9,0.4,0.3
62,Keon Clark,1999,2001,3,144,3011,404,807,1,9,205,318,256,787,115,71,189,194,384,1014,.501,.111,.645,20.9,7.0,5.5,0.8
63,Jeffrey Congdon,1968,1970,3,183,3838,473,1243,73,239,240,302,66,360,640,,,352,346,1259,.381,.305,.795,21.0,6.9,2.0,3.5
64,Anthony Cook,1991,1992,2,80,1236,133,308,0,3,75,135,147,360,28,40,76,53,110,341,.432,.000,.556,15.5,4.3,4.5,0.4
65,Darwin Cook,1989,1989,1,30,386,71,163,2,10,17,22,13,48,43,28,6,26,44,161,.436,.200,.773,12.9,5.4,1.6,1.4
66,Norm Cook,1978,1978,1,2,10,1,3,,,0,0,1,3,1,0,0,0,4,2,.333,,,5.0,1.0,1.5,0.5
67,Wayne Cooper,1985,1989,5,351,8433,1399,3000,4,17,543,736,891,2603,343,131,830,476,1323,3345,.466,.235,.738,24.0,9.5,7.4,1.0
68,Geoff Crompton,1979,1979,1,20,88,10,26,,,6,12,6,23,5,0,3,12,19,26,.385,,.500,4.4,1.3,1.2,0.3
69,John Crotty,2003,2003,1,12,180,14,41,4,13,9,15,1,15,29,3,0,9,16,41,.341,.308,.600,15.0,3.4,1.3,2.4
70,Rastko Cvetkovic,1996,1996,1,14,48,5,16,0,1,0,4,4,11,3,2,1,3,11,10,.313,.000,.000,3.4,0.7,0.8,0.2
71,Terry Davis,2001,2001,1,19,228,12,25,0,0,9,22,24,53,7,1,1,5,34,33,.480,,.409,12.0,1.7,2.8,0.4
72,Walter Davis,1989,1992,4,235,5277,1534,3179,41,164,550,614,159,523,497,222,18,342,524,3659,.483,.250,.896,22.5,15.6,2.2,2.1
73,Bison Dele,1994,1995,2,143,2768,447,797,0,3,243,373,236,744,103,87,130,218,431,1137,.561,.000,.651,19.4,8.0,5.2,0.7
74,Kenny Dennard,1984,1984,1,43,413,36,99,3,10,15,24,37,101,45,23,8,29,83,90,.364,.300,.625,9.6,2.1,2.3,1.0
75,Yakhouba Diawara,2007,2008,2,118,1719,155,426,70,236,57,84,50,172,92,38,10,53,193,437,.364,.297,.679,14.6,3.7,1.5,0.8
