Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Tom Abernethy,1981,1981,1,29,259,24,56,0,1,11,19,19,40,18,6,3,6,29,59,.429,.000,.579,8.9,2.0,1.4,0.6
2,Matthew Aitch,1968,1968,1,45,637,100,247,0,2,52,77,,160,18,,,37,69,252,.405,.000,.675,14.2,5.6,3.6,0.4
3,Jerome Allen,1997,1997,1,51,692,57,147,23,59,27,47,13,65,109,27,0,56,67,164,.388,.390,.574,13.6,3.2,1.3,2.1
4,Lavoy Allen,2014,2016,3,109,1866,239,506,0,0,49,75,201,537,115,30,65,76,168,527,.472,,.653,17.1,4.8,4.9,1.1
5,Lou Amundson,2012,2012,1,60,753,89,207,0,0,35,82,94,222,14,27,44,45,125,213,.430,,.427,12.6,3.6,3.7,0.2
6,Jerome Anderson,1977,1977,1,27,164,26,59,,,14,20,9,12,10,6,2,,26,66,.441,,.700,6.1,2.4,0.4,0.4
7,Kenny Anderson,2004,2004,1,44,905,113,256,1,4,35,48,19,81,125,26,5,50,73,262,.441,.250,.729,20.6,6.0,1.8,2.8
8,Ron Anderson,1986,1988,3,197,3287,629,1284,2,15,266,360,287,615,268,127,15,204,268,1526,.490,.133,.739,16.7,7.7,3.1,1.4
9,Darrell Armstrong,2007,2007,1,81,1275,156,377,72,214,73,93,34,135,191,70,6,76,102,457,.414,.336,.785,15.7,5.6,1.7,2.4
10,Bob Arnzen,1973,1974,2,43,260,44,86,1,4,13,17,21,43,6,3,2,8,23,102,.512,.250,.765,6.0,2.4,1.0,0.1
11,Vincent Askew,1997,1997,1,41,822,79,183,7,24,68,86,25,98,90,17,6,42,122,233,.432,.292,.791,20.0,5.7,2.4,2.2
12,D.J. Augustin,2013,2013,1,76,1226,103,294,67,190,83,99,20,91,170,34,3,68,64,356,.350,.353,.838,16.1,4.7,1.2,2.2
13,Jeff Ayres,2012,2013,2,57,475,76,162,2,4,25,30,41,137,19,9,14,25,60,179,.469,.500,.833,8.3,3.1,2.4,0.3
14,Mike Bantom,1978,1982,5,355,11045,1977,4131,2,12,920,1323,838,2357,1048,402,270,882,1340,4876,.479,.167,.695,31.1,13.7,6.6,3.0
15,Leandro Barbosa,2012,2012,1,22,436,73,183,25,59,25,33,12,49,33,20,0,26,34,196,.399,.424,.758,19.8,8.9,2.2,1.5
16,Nathaniel Barnett,1976,1976,1,12,73,12,26,0,1,3,8,3,8,8,3,1,8,22,27,.462,.000,.375,6.1,2.3,0.7,0.7
17,John Barnhill,1970,1972,3,139,3187,433,1152,89,382,208,314,95,254,411,,,208,263,1163,.376,.233,.662,22.9,8.4,1.8,3.0
18,Maceo Baston,2007,2009,2,74,622,74,122,3,8,54,74,43,126,23,18,28,44,104,205,.607,.375,.730,8.4,2.8,1.7,0.3
19,Johnny Baum,1974,1974,1,13,113,17,36,0,0,2,4,12,25,2,6,2,6,17,36,.472,,.500,8.7,2.8,1.9,0.2
20,Arthur Becker,1970,1971,2,133,2344,496,969,4,7,173,206,181,596,67,,,102,402,1169,.512,.571,.840,17.6,8.8,4.5,0.5
21,Ron Behagen,1978,1978,1,51,1131,222,544,,,128,176,146,333,65,32,19,113,160,572,.408,,.727,22.2,11.2,6.5,1.3
22,Jonathan Bender,2000,2006,7,237,3555,469,1121,87,258,310,412,138,530,154,41,152,230,358,1335,.418,.337,.752,15.0,5.6,2.2,0.6
23,Mel Bennett,1977,1978,2,98,1196,124,375,,,140,232,159,330,92,48,40,30,209,388,.331,,.603,12.2,4.0,3.4,0.9
24,Travis Best,1996,2002,7,469,10327,1405,3181,193,533,806,982,158,846,1785,488,39,682,1156,3809,.442,.362,.821,22.0,8.1,1.8,3.8
25,Etdrick Bohannon,1998,1998,1,5,11,0,4,0,0,0,0,2,6,1,0,2,3,3,0,.000,,,2.2,0.0,1.2,0.2
26,Ron Bonham,1968,1968,1,42,426,80,210,0,2,85,105,,57,14,,,32,36,245,.381,.000,.810,10.1,5.8,1.4,0.3
27,Dudley Bradley,1980,1981,2,164,3894,540,1168,4,21,261,352,139,416,440,397,85,288,430,1345,.462,.190,.741,23.7,8.2,2.5,2.7
28,Brad Branson,1983,1983,1,62,680,131,308,0,1,76,108,73,173,46,27,26,45,81,338,.425,.000,.704,11.0,5.5,2.8,0.7
29,Jamison Brewer,2002,2004,3,36,283,24,57,5,17,5,15,9,28,44,11,1,19,23,58,.421,.294,.333,7.9,1.6,0.8,1.2
30,Primoz Brezec,2002,2004,3,62,343,41,93,0,1,31,51,34,66,13,2,14,19,57,113,.441,.000,.608,5.5,1.8,1.1,0.2
31,Michael Brooks,1987,1987,1,10,148,13,37,0,0,7,10,9,28,11,9,0,11,19,33,.351,,.700,14.8,3.3,2.8,1.1
32,Roger Brown,1968,1975,8,559,20315,3699,7852,280,883,2380,3006,975,3609,2214,63,61,1414,1849,10058,.471,.317,.792,36.3,18.0,6.5,4.0
33,Tony Brown,1985,1985,1,82,1586,214,465,0,6,116,171,146,288,159,59,12,116,212,544,.460,.000,.678,19.3,6.6,3.5,1.9
34,Quinn Buckner,1986,1986,1,32,419,49,104,0,1,19,27,9,51,86,40,3,55,80,117,.471,.000,.704,13.1,3.7,1.6,2.7
35,Chase Budinger,2016,2016,1,32,506,56,137,18,53,26,35,16,74,34,16,6,20,31,156,.409,.340,.743,15.8,4.9,2.3,1.1
36,Don Buse,1973,1982,7,539,15681,1641,3785,243,709,620,791,486,1635,2737,1177,117,528,961,4145,.434,.343,.784,29.1,7.7,3.0,5.1
37,Rasual Butler,2014,2014,1,50,378,51,110,26,62,8,14,6,41,17,7,9,11,30,136,.464,.419,.571,7.6,2.7,0.8,0.3
