Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Alexis Ajinca,2014,2016,3,147,2193,372,682,0,1,148,178,223,678,94,48,109,146,389,892,.545,.000,.831,14.9,6.1,4.6,0.6
2,Courtney Alexander,2003,2003,1,66,1360,193,505,19,57,118,146,39,118,79,31,6,68,125,523,.382,.333,.808,20.6,7.9,1.8,1.2
3,Al-Farouq Aminu,2012,2014,3,222,5588,609,1333,30,114,278,388,363,1389,283,233,123,295,436,1526,.457,.263,.716,25.2,6.9,6.3,1.3
4,Lou Amundson,2013,2014,2,36,393,34,74,0,0,14,40,52,113,14,18,17,22,76,82,.459,,.350,10.9,2.3,3.1,0.4
5,Chris Andersen,2005,2008,3,104,2034,249,463,0,3,182,297,200,574,77,22,145,91,234,680,.538,.000,.613,19.6,6.5,5.5,0.7
6,David Andersen,2011,2011,1,29,223,33,74,5,13,7,15,12,50,6,2,6,14,29,78,.446,.385,.467,7.7,2.7,1.7,0.2
7,Kenny Anderson,2003,2003,1,23,446,61,150,1,2,16,22,14,45,77,18,4,42,43,139,.407,.500,.727,19.4,6.0,2.0,3.3
8,Ryan Anderson,2013,2016,4,195,5939,1101,2612,462,1238,435,500,427,1151,204,101,71,231,389,3099,.422,.373,.870,30.5,15.9,5.9,1.0
9,Trevor Ariza,2011,2012,2,116,3950,471,1165,111,358,217,299,102,623,297,189,56,194,253,1270,.404,.310,.726,34.1,10.9,5.4,2.6
10,Darrell Armstrong,2004,2005,2,93,2659,344,895,152,499,142,165,79,274,376,148,18,183,178,982,.384,.305,.861,28.6,10.6,2.9,4.0
11,Hilton Armstrong,2007,2010,4,209,2697,292,569,0,2,159,263,221,568,78,61,113,187,434,743,.513,.000,.605,12.9,3.6,2.7,0.4
12,Omer Asik,2015,2016,2,102,2398,235,455,0,0,158,269,273,863,81,36,63,119,197,628,.516,,.587,23.5,6.2,8.5,0.8
13,Stacey Augmon,2003,2004,2,139,2278,222,539,1,14,164,211,78,293,154,82,24,116,194,609,.412,.071,.777,16.4,4.4,2.1,1.1
14,Gustavo Ayon,2012,2012,1,54,1088,140,261,0,1,39,63,86,265,74,53,46,46,118,319,.536,.000,.619,20.1,5.9,4.9,1.4
15,Luke Babbitt,2014,2016,3,107,1586,179,417,111,259,35,48,34,250,63,25,25,46,149,504,.429,.429,.729,14.8,4.7,2.3,0.6
16,Brandon Bass,2006,2007,2,50,430,43,114,0,1,24,35,31,111,6,5,10,21,34,110,.377,.000,.686,8.6,2.2,2.2,0.1
17,Lonny Baxter,2005,2005,1,4,36,3,11,0,0,0,2,4,8,0,0,0,4,10,6,.273,,.000,9.0,1.5,2.0,0.0
18,Jerryd Bayless,2011,2011,1,11,149,17,49,3,14,13,17,2,15,28,2,1,17,16,50,.347,.214,.765,13.5,4.5,1.4,2.5
19,Marco Belinelli,2011,2012,2,146,3923,588,1377,241,608,199,254,36,323,193,86,11,146,261,1616,.427,.396,.783,26.9,11.1,2.2,1.3
20,Ryan Bowen,2008,2009,2,74,879,71,138,0,1,19,34,65,124,34,46,16,20,114,161,.514,.000,.559,11.9,2.2,1.7,0.5
21,Bobby Brown,2010,2010,1,22,328,60,152,17,66,8,8,1,18,46,9,1,24,28,145,.395,.258,1.000,14.9,6.6,0.8,2.1
22,Devin Brown,2007,2010,3,160,3498,472,1193,163,471,270,341,113,479,261,106,19,202,282,1377,.396,.346,.792,21.9,8.6,3.0,1.6
23,P.J. Brown,2003,2006,4,315,10559,1265,2654,0,4,701,828,928,2675,570,265,253,390,855,3231,.477,.000,.847,33.5,10.3,8.5,1.8
24,Tierre Brown,2004,2004,1,3,17,2,4,0,0,2,4,0,1,2,0,0,7,1,6,.500,,.500,5.7,2.0,0.3,0.7
25,Rasual Butler,2006,2009,4,293,7587,1010,2484,410,1097,247,342,158,859,214,139,181,201,515,2677,.407,.374,.722,25.9,9.1,2.9,0.7
26,Elden Campbell,2003,2003,1,41,685,101,247,0,1,93,115,34,142,42,24,31,42,102,295,.409,.000,.809,16.7,7.2,3.5,1.0
27,Maurice Carter,2004,2004,1,6,60,6,21,3,8,5,8,2,8,2,0,0,3,5,20,.286,.375,.625,10.0,3.3,1.3,0.3
28,Tyson Chandler,2007,2009,3,197,6753,829,1356,0,2,358,629,805,2225,169,97,269,332,631,2016,.611,.000,.569,34.3,10.2,11.3,0.9
29,Josh Childress,2014,2014,1,4,24,0,0,0,0,0,0,0,3,2,1,0,1,1,0,,,,6.0,0.0,0.8,0.5
30,Speedy Claxton,2005,2006,2,87,2384,345,846,18,72,271,361,44,224,427,130,8,181,207,979,.408,.250,.751,27.4,11.3,2.6,4.9
31,Norris Cole,2015,2016,2,44,1062,169,402,37,116,40,56,6,106,124,29,9,67,86,415,.420,.319,.714,24.1,9.4,2.4,2.8
32,Darren Collison,2010,2010,1,76,2109,376,789,46,115,148,174,41,192,432,78,4,202,92,946,.477,.400,.851,27.8,12.4,2.5,5.7
33,Dante Cunningham,2015,2016,2,98,2249,206,453,16,55,39,63,89,363,67,58,46,46,159,467,.455,.291,.619,22.9,4.8,3.7,0.7
