Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
2,Alex Acker,2006,2009,2,12,55,8,27,1,9,1,2,1,7,5,3,1,4,4,18,.296,.111,.500,4.6,1.5,0.6,0.4
3,Don Adams,1973,1975,3,195,5472,687,1697,,,336,455,196,1111,328,179,32,,641,1710,.405,,.738,28.1,8.8,5.7,1.7
4,Rafael Addison,1995,1995,1,79,1776,279,586,24,83,74,99,67,242,109,53,25,76,236,656,.476,.289,.747,22.5,8.3,3.1,1.4
5,Arron Afflalo,2008,2009,2,149,2204,230,541,53,155,126,158,66,271,96,59,21,77,227,639,.425,.342,.797,14.8,4.3,1.8,0.6
6,Mark Aguirre,1989,1993,5,318,7717,1597,3457,122,400,799,1079,417,1218,604,164,64,490,783,4115,.462,.305,.741,24.3,12.9,3.8,1.9
7,Gary Alcorn,1960,1960,1,58,670,91,312,,,48,84,,279,22,,,,123,230,.292,,.571,11.6,4.0,4.8,0.4
8,Victor Alexander,2002,2002,1,15,97,18,51,0,2,4,8,7,29,6,0,1,5,6,40,.353,.000,.500,6.5,2.7,1.9,0.4
9,Greg Anderson,1994,1994,1,77,1624,201,370,1,3,88,154,183,571,51,55,68,94,234,491,.543,.333,.571,21.1,6.4,7.4,0.7
10,Joel Anthony,2015,2016,2,57,441,37,64,0,0,20,28,35,102,6,14,51,13,60,94,.578,,.714,7.7,1.6,1.8,0.1
11,Curly Armstrong,1949,1951,3,153,,347,1176,,,346,500,,89,358,,,,466,1040,.295,,.692,,6.8,2.3,2.3
12,Jesse Arnelle,1956,1956,1,31,409,52,164,,,43,69,,170,18,,,,60,147,.317,,.623,13.2,4.7,5.5,0.6
13,Carlos Arroyo,2005,2006,2,90,1306,131,354,3,18,108,144,39,128,283,43,4,97,153,373,.370,.167,.750,14.5,4.1,1.4,3.1
14,Dick Atha,1958,1958,1,18,160,17,47,,,10,12,,24,19,,,,24,44,.362,,.833,8.9,2.4,1.3,1.1
15,Chucky Atkins,2001,2010,5,305,7441,1061,2599,409,1120,269,369,91,504,954,202,21,434,582,2800,.408,.365,.729,24.4,9.2,1.7,3.1
16,Stacey Augmon,1997,1997,1,20,292,31,77,0,0,28,41,14,49,15,10,10,27,29,90,.403,,.683,14.6,4.5,2.5,0.8
17,D.J. Augustin,2015,2015,1,54,1287,189,461,49,150,147,169,13,100,265,33,2,110,61,574,.410,.327,.870,23.8,10.6,1.9,4.9
18,Ken Austin,1984,1984,1,7,28,6,13,0,0,0,0,2,3,1,1,1,3,7,12,.462,,,4.0,1.7,0.4,0.1
19,Steve Bardo,1996,1996,1,9,123,9,23,0,4,4,6,2,22,15,4,1,5,17,22,.391,.000,.667,13.7,2.4,2.4,1.7
20,Marvin Barnes,1977,1978,2,65,1258,255,570,,,120,185,97,344,64,45,44,29,182,630,.447,,.649,19.4,9.7,5.3,1.0
21,John Barnhill,1966,1966,1,45,926,139,363,,,59,98,,112,113,,,,76,337,.383,,.602,20.6,7.5,2.5,2.5
22,Leo Barnhorst,1954,1954,1,17,185,12,57,,,5,6,,,12,,,,30,29,.211,,.833,10.9,1.7,,0.7
23,Dana Barros,2001,2002,2,89,1661,257,604,68,176,89,107,7,151,188,44,4,93,100,671,.425,.386,.832,18.7,7.5,1.7,2.1
24,Jon Barry,2002,2003,2,162,3458,446,946,208,472,194,216,75,414,480,157,34,192,238,1294,.471,.441,.898,21.3,8.0,2.6,3.0
25,Aron Baynes,2016,2016,1,33,438,60,133,0,1,28,40,52,131,22,9,12,28,56,148,.451,.000,.700,13.3,4.5,4.0,0.7
26,Corey Beck,1999,1999,1,8,30,4,8,0,0,2,2,3,5,0,2,0,2,5,10,.500,,1.000,3.8,1.3,0.6,0.0
27,William Bedford,1988,1992,4,172,1469,254,589,6,20,91,145,121,317,52,19,88,87,218,605,.431,.300,.628,8.5,3.5,1.8,0.3
28,Ron Behagen,1979,1979,1,1,1,0,0,,,0,0,0,0,0,0,0,1,1,0,,,,1.0,0.0,0.0,0.0
29,Walt Bellamy,1969,1970,2,109,3196,569,1085,,,416,665,,1113,154,,,,360,1554,.524,,.626,29.3,14.3,10.2,1.4
30,Kent Benson,1980,1986,7,398,10003,1590,3204,5,26,619,784,764,2437,734,353,348,641,1160,3804,.496,.192,.790,25.1,9.6,6.1,1.8
31,Don Bielke,1956,1956,1,7,38,5,9,,,4,7,,9,1,,,,9,14,.556,,.571,5.4,2.0,1.3,0.1
32,Chauncey Billups,2003,2014,8,482,16310,2357,5583,890,2240,2336,2620,232,1559,2984,495,76,1002,986,7940,.422,.397,.892,33.8,16.5,3.2,6.2
33,Dave Bing,1967,1975,9,675,26052,5772,13119,,,3691,4789,194,2828,4330,225,43,,1956,15235,.440,,.771,38.6,22.6,4.2,6.4
34,Charlie Black,1949,1950,2,53,,171,580,,,170,271,,,100,,,,204,512,.295,,.627,,9.7,,1.9
35,Norman Black,1981,1981,1,3,28,3,10,0,0,2,8,0,2,2,1,0,1,2,8,.300,,.250,9.3,2.7,0.7,0.7
36,Steve Blake,2016,2016,1,27,439,45,118,25,74,5,7,6,43,85,14,3,39,29,120,.381,.338,.714,16.3,4.4,1.6,3.1
