Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Blake Ahearn,2009,2009,1,3,19,2,6,2,4,2,2,0,1,2,1,0,1,3,8,.333,.500,1.000,6.3,2.7,0.3,0.7
2,LaMarcus Aldridge,2016,2016,1,33,976,214,444,0,10,93,118,81,291,42,12,34,47,70,521,.482,.000,.788,29.6,15.8,8.8,1.3
3,Cory Alexander,1996,1998,3,177,2515,317,790,140,382,136,191,45,212,446,134,23,261,295,910,.401,.366,.712,14.2,5.1,1.2,2.5
4,Derek Anderson,2001,2001,1,82,2859,413,993,101,253,342,402,75,363,301,120,14,165,188,1269,.416,.399,.851,34.9,15.5,4.4,3.7
5,Greg Anderson,1988,1997,4,292,6388,993,1979,1,10,473,849,602,1737,184,228,316,418,740,2460,.502,.100,.557,21.9,8.4,5.9,0.6
6,James Anderson,2011,2013,3,87,983,108,280,42,125,60,79,21,116,68,14,10,50,66,318,.386,.336,.759,11.3,3.7,1.3,0.8
7,Kyle Anderson,2015,2016,2,66,756,71,172,7,21,31,47,12,142,59,29,21,28,55,180,.413,.333,.660,11.5,2.7,2.2,0.9
8,Michael Anderson,1989,1989,1,36,730,73,175,1,7,57,82,44,89,153,44,3,84,64,204,.417,.143,.695,20.3,5.7,2.5,4.3
9,Willie Anderson,1989,1995,7,451,13611,2487,5228,57,233,915,1170,487,1794,1874,505,279,1001,1234,5946,.476,.245,.782,30.2,13.2,4.0,4.2
10,Bird Averitt,1974,1974,1,74,1639,343,912,9,50,156,224,44,121,132,63,6,137,166,851,.376,.180,.696,22.1,11.5,1.6,1.8
11,Jeff Ayres,2014,2015,2,124,1335,156,269,0,0,65,91,126,375,74,21,33,89,206,377,.580,,.714,10.8,3.0,3.0,0.6
12,Gene Banks,1982,1985,4,323,9113,1529,2811,2,22,740,1017,716,2050,914,303,74,583,904,3800,.544,.091,.728,28.2,11.8,6.3,2.8
