Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Alvan Adams,1976,1988,13,988,27203,5709,11464,2,15,2490,3160,2015,6937,4012,1289,808,2194,3214,13910,.498,.133,.788,27.5,14.1,7.0,4.1
2,Rafael Addison,1987,1987,1,62,711,146,331,16,50,51,64,41,106,45,27,7,54,75,359,.441,.320,.797,11.5,5.8,1.7,0.7
3,Danny Ainge,1993,1995,3,222,5092,755,1689,308,830,306,369,102,454,650,172,23,273,470,2124,.447,.371,.829,22.9,9.6,2.0,2.9
4,Lou Amundson,2009,2010,2,155,2212,286,526,0,2,120,243,256,616,59,56,138,113,323,692,.544,.000,.494,14.3,4.5,4.0,0.4
5,Robert Archibald,2004,2004,1,1,6,0,1,0,0,1,2,0,1,1,0,0,1,1,1,.000,,.500,6.0,1.0,1.0,1.0
6,Dennis Awtrey,1975,1978,4,309,7596,753,1663,,,367,539,543,1655,846,123,130,127,703,1873,.453,,.681,24.6,6.1,5.4,2.7
7,James Bailey,1988,1988,1,65,869,109,241,0,4,70,89,73,210,42,17,28,70,180,288,.452,.000,.787,13.4,4.4,3.2,0.6
8,Toby Bailey,1999,2000,2,73,698,92,226,3,15,54,78,50,126,43,22,6,35,79,241,.407,.200,.692,9.6,3.3,1.7,0.6
9,Marcus Banks,2007,2008,2,69,813,128,305,30,94,60,76,13,58,85,31,11,56,108,346,.420,.319,.789,11.8,5.0,0.8,1.2
10,Mike Bantom,1974,1976,3,165,4289,740,1720,,,331,477,390,1095,325,114,96,,575,1811,.430,,.694,26.0,11.0,6.6,2.0
11,Leandro Barbosa,2004,2014,8,486,12072,2229,4778,716,1806,850,1028,198,1135,1240,454,76,717,1077,6024,.467,.396,.827,24.8,12.4,2.3,2.6
12,Charles Barkley,1993,1996,4,280,10171,2368,4723,238,792,1582,2107,881,3232,1219,444,212,807,765,6556,.501,.301,.751,36.3,23.4,11.5,4.4
13,Matt Barnes,2009,2009,1,77,2082,285,674,117,341,101,136,79,421,212,52,26,130,209,788,.423,.343,.743,27.0,10.2,5.5,2.8
14,Andre Barrett,2006,2006,1,2,21,3,7,0,1,3,3,1,3,2,0,0,1,1,9,.429,.000,1.000,10.5,4.5,1.5,1.0
15,Earl Barron,2011,2015,2,28,326,24,90,2,4,18,32,30,68,9,10,6,16,58,68,.267,.500,.563,11.6,2.4,2.4,0.3
16,Kenny Battle,1990,1991,2,75,992,131,256,1,6,75,111,65,177,53,54,17,49,119,338,.512,.167,.676,13.2,4.5,2.4,0.7
17,Michael Beasley,2013,2013,1,75,1554,310,766,45,144,94,126,52,282,111,31,34,144,107,759,.405,.313,.746,20.7,10.1,3.8,1.5
18,William Bedford,1987,1987,1,50,979,142,358,0,1,50,86,79,246,57,18,37,85,125,334,.397,.000,.581,19.6,6.7,4.9,1.1
19,Charlie Bell,2002,2002,1,5,42,3,11,0,6,2,2,2,4,2,0,0,5,3,8,.273,.000,1.000,8.4,1.6,0.8,0.4
20,Raja Bell,2006,2009,4,254,9234,1228,2810,622,1475,328,410,147,842,600,193,73,255,758,3406,.437,.422,.800,36.4,13.4,3.3,2.4
21,Mario Bennett,1996,1996,1,19,230,29,64,0,1,27,42,21,49,6,11,11,11,46,85,.453,.000,.643,12.1,4.5,2.6,0.3
22,Ed Biedenbach,1969,1969,1,7,18,0,6,,,4,6,,2,3,,,,1,4,.000,,.667,2.6,0.6,0.3,0.4
