Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
1,Jeff Adrien,2015,2015,1,17,215,19,44,0,0,22,38,23,77,15,4,9,9,30,60,.432,,.579,12.6,3.5,4.5,0.9
2,Maurice Ager,2011,2011,1,4,29,6,11,3,4,0,0,0,2,1,1,0,4,4,15,.545,.750,,7.3,3.8,0.5,0.3
3,Jerome Allen,1996,1996,1,41,362,36,105,10,33,26,36,5,25,49,21,5,34,42,108,.343,.303,.722,8.8,2.6,0.6,1.2
4,Lou Amundson,2013,2013,1,20,161,14,38,0,0,4,20,23,47,3,7,6,11,26,32,.368,,.200,8.1,1.6,2.4,0.2
5,William Avery,2000,2002,3,142,1205,137,415,40,157,65,91,17,93,199,34,6,106,125,379,.330,.255,.714,8.5,2.7,0.7,1.4
6,Thurl Bailey,1992,1994,3,220,4350,764,1636,0,3,409,506,218,837,174,70,207,205,310,1937,.467,.000,.808,19.8,8.8,3.8,0.8
7,Marcus Banks,2006,2006,1,40,1228,186,388,16,44,91,117,19,116,188,47,11,96,124,479,.479,.364,.778,30.7,12.0,2.9,4.7
8,J.J. Barea,2012,2014,3,194,4216,737,1832,223,654,260,332,64,475,829,79,0,373,321,1957,.402,.341,.783,21.7,10.1,2.4,4.3
9,Michael Beasley,2011,2012,2,120,3448,782,1743,98,265,280,386,157,616,203,72,71,275,305,1942,.449,.370,.725,28.7,16.2,5.1,1.7
10,Anthony Bennett,2015,2015,1,57,894,125,297,7,23,41,64,52,216,48,27,16,36,87,298,.421,.304,.641,15.7,5.2,3.8,0.8
11,Chauncey Billups,2001,2002,2,159,4145,596,1410,197,509,351,405,67,384,710,117,28,249,347,1740,.423,.387,.867,26.1,10.9,2.4,4.5
12,Nemanja Bjelica,2016,2016,1,29,541,48,115,23,69,13,23,25,108,39,10,11,18,76,132,.417,.333,.565,18.7,4.6,3.7,1.3
13,Lance Blanks,1993,1993,1,61,642,65,150,11,43,20,32,18,68,72,16,5,31,61,161,.433,.256,.625,10.5,2.6,1.1,1.2
14,Mark Blount,2006,2007,2,124,3701,606,1193,9,31,218,290,196,708,100,68,98,233,386,1439,.508,.290,.752,29.8,11.6,5.7,0.8
15,Calvin Booth,2009,2009,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,1.0,0.0,1.0,0.0
16,Marques Bragg,1996,1996,1,53,369,54,120,0,0,23,41,38,79,8,17,8,26,71,131,.450,,.561,7.0,2.5,1.5,0.2
17,Adrian Branch,1990,1990,1,11,91,25,61,1,1,14,22,8,20,4,6,0,8,14,65,.410,1.000,.636,8.3,5.9,1.8,0.4
18,Terrell Brandon,1999,2002,4,202,7082,1279,2840,95,265,504,563,137,710,1681,386,64,420,402,3157,.450,.358,.895,35.1,15.6,3.5,8.3
19,Randy Breuer,1990,1992,3,191,4006,570,1289,0,2,170,298,323,916,246,95,254,178,382,1310,.442,.000,.570,21.0,6.9,4.8,1.3
20,Corey Brewer,2008,2015,6,337,9243,1278,2994,187,636,607,861,310,1073,619,502,105,498,855,3350,.427,.294,.705,27.4,9.9,3.2,1.8
21,Scott Brooks,1991,1992,2,162,2062,326,744,77,225,112,135,55,171,409,119,12,102,204,841,.438,.342,.830,12.7,5.2,1.1,2.5
22,Bobby Brown,2009,2009,1,21,256,47,113,14,36,8,9,6,16,30,6,2,16,21,116,.416,.389,.889,12.2,5.5,0.8,1.4
23,Lorenzo Brown,2015,2015,1,29,549,52,122,6,28,12,19,14,70,90,28,6,30,49,122,.426,.214,.632,18.9,4.2,2.4,3.1
24,Mike Brown,1994,1995,2,109,2134,121,300,0,3,92,145,128,492,82,58,29,91,253,334,.403,.000,.634,19.6,3.1,4.5,0.8
25,Myron Brown,1992,1992,1,4,23,4,6,1,3,0,0,0,3,6,1,0,4,2,9,.667,.333,,5.8,2.3,0.8,1.5
26,Greg Buckner,2008,2008,1,31,520,45,117,15,50,19,22,10,65,39,21,2,29,63,124,.385,.300,.864,16.8,4.0,2.1,1.3
27,Chase Budinger,2013,2015,3,131,2545,348,835,120,344,131,162,67,372,120,77,19,96,159,947,.417,.349,.809,19.4,7.2,2.8,0.9
28,Tony Campbell,1990,1992,3,237,8498,1902,4220,38,152,1046,1314,511,1083,656,316,110,606,670,4888,.451,.250,.796,35.9,20.6,4.6,2.8
29,Brian Cardinal,2009,2010,2,93,1176,79,205,33,101,47,53,46,171,100,46,16,55,191,238,.385,.327,.887,12.6,2.6,1.8,1.1
30,Rodney Carney,2009,2009,1,67,1199,176,423,79,226,50,66,36,126,26,45,29,43,94,481,.416,.350,.758,17.9,7.2,1.9,0.4
31,Chris Carr,1997,1999,3,117,2076,324,749,74,224,142,176,74,280,140,42,22,110,231,864,.433,.330,.807,17.7,7.4,2.4,1.2
32,Anthony Carter,2005,2006,2,111,1331,125,314,6,32,75,106,21,131,262,59,27,102,159,331,.398,.188,.708,12.0,3.0,1.2,2.4
33,Sam Cassell,2004,2005,2,140,4360,939,1957,101,289,423,486,69,428,893,138,32,329,407,2402,.480,.349,.870,31.1,17.2,3.1,6.4
34,Richard Coffey,1991,1991,1,52,320,28,75,0,1,12,22,42,79,3,6,4,5,45,68,.373,.000,.545,6.2,1.3,1.5,0.1
35,Jason Collins,2009,2009,1,31,422,22,70,0,0,13,28,28,70,11,9,13,12,73,57,.314,,.464,13.6,1.8,2.3,0.4
36,Will Conroy,2013,2013,1,4,20,0,9,0,3,1,2,1,1,0,0,0,0,1,1,.000,.000,.500,5.0,0.3,0.3,0.0
37,Tyrone Corbin,1990,1992,3,175,6551,1165,2536,2,22,501,633,428,1262,596,349,100,378,576,2833,.459,.091,.791,37.4,16.2,7.2,3.4
38,Dante Cunningham,2013,2014,2,161,3645,550,1180,0,11,105,170,254,738,150,146,96,98,299,1205,.466,.000,.618,22.6,7.5,4.6,0.9
39,Bill Curley,1998,1999,2,46,518,45,105,1,6,21,25,31,79,18,20,10,13,111,112,.429,.167,.840,11.3,2.4,1.7,0.4
40,Troy Daniels,2015,2015,1,19,154,19,59,13,39,2,2,6,19,13,3,0,8,14,53,.322,.333,1.000,8.1,2.8,1.0,0.7
41,Brian Davis,1994,1994,1,68,374,40,126,1,3,50,68,21,55,22,16,4,19,34,131,.317,.333,.735,5.5,1.9,0.8,0.3
42,Mark Davis,1996,1996,1,57,571,55,149,4,13,74,116,56,125,47,40,22,68,92,188,.369,.308,.638,10.0,3.3,2.2,0.8
43,Ricky Davis,2006,2007,2,117,4481,761,1684,156,427,385,466,79,479,558,122,31,308,288,2063,.452,.365,.826,38.3,17.6,4.1,4.8
44,Todd Day,2001,2001,1,31,345,44,118,26,69,18,23,10,37,28,10,7,24,52,132,.373,.377,.783,11.1,4.3,1.2,0.9
45,Gorgui Dieng,2014,2016,3,167,3841,486,955,3,8,319,419,378,1124,228,139,209,248,387,1294,.509,.375,.761,23.0,7.7,6.7,1.4
46,Michael Doleac,2008,2008,1,24,257,28,63,0,0,1,2,16,49,7,10,10,12,44,57,.444,,.500,10.7,2.4,2.0,0.3
47,Ronald Dupree,2006,2006,1,36,265,33,63,0,1,14,41,21,49,14,12,0,14,44,80,.524,.000,.341,7.4,2.2,1.4,0.4
48,Pat Durham,1995,1995,1,59,852,117,237,5,26,63,96,37,94,53,36,32,45,114,302,.494,.192,.656,14.4,5.1,1.6,0.9
49,Ndudi Ebi,2004,2005,2,19,86,17,35,0,1,6,13,8,19,4,1,5,6,13,40,.486,.000,.462,4.5,2.1,1.0,0.2
50,Howard Eisley,1995,1995,1,34,496,37,105,8,32,31,40,10,42,77,18,5,42,78,113,.352,.250,.775,14.6,3.3,1.2,2.3
51,Wayne Ellington,2010,2012,3,189,3538,472,1147,147,391,135,163,73,366,179,74,18,153,213,1226,.412,.376,.828,18.7,6.5,1.9,0.9
52,LaPhonso Ellis,2001,2001,1,82,1948,298,642,7,22,169,214,199,494,93,67,74,108,290,772,.464,.318,.790,23.8,9.4,6.0,1.1
53,Brian Evans,1999,1999,1,5,24,2,10,0,2,0,0,2,2,1,2,0,0,1,4,.200,.000,,4.8,0.8,0.4,0.2
54,Maurice Evans,2002,2002,1,10,45,9,19,0,3,3,4,3,4,4,0,0,2,9,21,.474,.000,.750,4.5,2.1,0.4,0.4
55,Jonny Flynn,2010,2011,2,134,3322,505,1248,108,315,255,312,36,268,538,116,5,346,156,1373,.405,.343,.817,24.8,10.2,2.0,4.0
56,Greg Foster,1995,1995,1,61,845,109,232,7,23,56,80,67,205,23,13,20,54,129,281,.470,.304,.700,13.9,4.6,3.4,0.4
57,Randy Foye,2007,2009,3,191,5632,897,2134,240,641,447,529,96,560,699,161,50,381,487,2481,.420,.374,.845,29.5,13.0,2.9,3.7
58,Richie Frahm,2006,2006,1,25,225,24,65,15,48,3,5,3,23,15,3,2,4,22,66,.369,.313,.600,9.0,2.6,0.9,0.6
59,Tellis Frank,1992,1994,2,77,1099,85,193,0,2,64,91,91,246,65,40,39,54,187,234,.440,.000,.703,14.3,3.0,3.2,0.8
60,Sundiata Gaines,2011,2011,1,8,65,7,22,2,6,5,10,1,6,6,3,0,6,4,21,.318,.333,.500,8.1,2.6,0.8,0.8
61,Winston Garland,1995,1995,1,73,1931,170,410,19,75,89,112,48,168,318,71,13,105,184,448,.415,.253,.795,26.5,6.1,2.3,4.4
62,Kevin Garnett,1996,2016,14,961,36078,7638,15536,164,569,3741,4803,2586,10703,4201,1310,1588,2401,2423,19181,.492,.288,.779,37.5,20.0,11.1,4.4
63,Dean Garrett,1997,2002,5,272,4306,476,924,0,0,179,257,367,1156,113,109,238,116,484,1131,.515,,.696,15.8,4.2,4.3,0.4
64,Tom Garrick,1992,1992,1,15,112,11,33,1,2,6,8,2,9,18,7,3,10,14,29,.333,.500,.750,7.5,1.9,0.6,1.2
65,Mickael Gelabale,2013,2013,1,36,644,72,139,16,52,21,24,32,99,26,16,4,16,47,181,.518,.308,.875,17.9,5.0,2.8,0.7
66,Kendall Gill,2003,2003,1,82,2068,286,677,19,59,123,161,51,248,156,78,15,108,176,714,.422,.322,.764,25.2,8.7,3.0,1.9
67,Gerald Glass,1991,1993,3,130,2499,540,1238,18,73,133,207,162,365,226,97,39,149,253,1231,.436,.247,.643,19.2,9.5,2.8,1.7
68,Dan Godfread,1991,1991,1,10,20,5,12,0,1,3,4,0,2,0,1,4,0,5,13,.417,.000,.750,2.0,1.3,0.2,0.0
69,Anthony Goldwire,2004,2004,1,5,66,5,14,2,6,1,1,1,6,10,3,0,2,5,13,.357,.333,1.000,13.2,2.6,1.2,2.0
70,Ryan Gomes,2008,2010,3,240,7258,1139,2563,239,663,440,536,315,1215,404,190,48,319,492,2957,.444,.360,.821,30.2,12.3,5.1,1.7
71,Paul Grant,1999,1999,1,4,8,1,4,0,0,0,0,1,1,0,0,0,1,4,2,.250,,,2.0,0.5,0.3,0.0
72,Gerald Green,2008,2008,1,29,358,49,148,15,39,34,41,11,62,29,8,4,32,43,147,.331,.385,.829,12.3,5.1,2.1,1.0
73,Eddie Griffin,2005,2007,3,153,2943,339,919,83,287,104,157,242,867,97,36,273,104,253,865,.369,.289,.662,19.2,5.7,5.7,0.6
74,Tom Gugliotta,1995,1998,4,231,8566,1546,3335,80,284,1029,1285,518,1970,879,391,235,717,690,4201,.464,.282,.801,37.1,18.2,8.5,3.8
75,Andres Guibert,1994,1995,2,22,200,22,67,0,4,16,25,26,61,12,8,2,18,35,60,.328,.000,.640,9.1,2.7,2.8,0.5
76,Justin Hamilton,2015,2015,1,17,423,58,113,4,12,33,40,33,86,24,19,25,18,37,153,.513,.333,.825,24.9,9.0,5.1,1.4
77,Tom Hammonds,1998,2001,4,169,2258,254,532,0,1,174,265,190,512,67,31,27,104,278,682,.477,.000,.657,13.4,4.0,3.0,0.4
78,Jason Hart,2010,2010,1,1,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,.000,,,5.0,0.0,0.0,1.0
79,Trenton Hassell,2004,2007,4,316,9069,905,1915,18,72,341,443,313,935,667,131,139,314,745,2169,.473,.250,.770,28.7,6.9,3.0,2.1
80,Lazar Hayward,2011,2013,2,46,450,57,164,17,64,39,48,23,74,31,14,7,19,47,170,.348,.266,.813,9.8,3.7,1.6,0.7
81,Shane Heal,1997,1997,1,43,236,26,97,20,65,3,5,2,18,33,3,3,17,20,75,.268,.308,.600,5.5,1.7,0.4,0.8
82,Fred Hoiberg,2004,2005,2,155,3076,317,667,146,317,187,218,53,449,194,116,25,64,241,967,.475,.461,.858,19.8,6.2,2.9,1.3
83,Ryan Hollins,2010,2010,1,73,1223,169,303,0,1,109,158,79,207,51,19,38,95,199,447,.558,.000,.690,16.8,6.1,2.8,0.7
84,Josh Howard,2013,2013,1,11,207,31,77,5,16,7,12,9,36,4,10,3,10,18,74,.403,.313,.583,18.8,6.7,3.3,0.4
85,Troy Hudson,2003,2007,5,257,6186,956,2355,285,782,379,438,81,415,984,120,19,409,391,2576,.406,.364,.865,24.1,10.0,1.6,3.8
86,Robbie Hummel,2014,2015,2,98,1397,146,349,48,140,39,45,66,266,50,32,11,28,143,379,.418,.343,.867,14.3,3.9,2.7,0.5
87,Bobby Jackson,1999,2000,2,123,1975,281,694,23,73,137,177,93,288,339,87,10,133,189,722,.405,.315,.774,16.1,5.9,2.3,2.8
88,Marc Jackson,2002,2003,2,99,1367,191,448,1,2,140,181,117,310,44,30,33,77,181,523,.426,.500,.773,13.8,5.3,3.1,0.4
89,Stanley Jackson,1994,1994,1,17,92,17,33,1,5,3,3,12,27,16,5,0,10,13,38,.515,.200,1.000,5.4,2.2,1.6,0.9
90,Sam Jacobson,2001,2001,1,14,59,9,18,0,0,2,3,3,6,4,3,0,0,19,20,.500,,.667,4.2,1.4,0.4,0.3
91,Mike James,2007,2007,1,82,2069,297,703,80,215,154,184,25,163,297,55,7,129,171,828,.422,.372,.837,25.2,10.1,2.0,3.6
92,Marko Jaric,2006,2008,3,220,5846,589,1419,118,345,283,389,152,639,749,280,69,343,541,1579,.415,.342,.728,26.6,7.2,2.9,3.4
93,Nathan Jawai,2010,2010,1,39,412,49,111,0,1,26,38,49,104,24,10,9,27,58,124,.441,.000,.684,10.6,3.2,2.7,0.6
94,Al Jefferson,2008,2010,3,208,7218,1766,3541,0,13,651,912,660,2162,333,176,300,395,568,4183,.499,.000,.714,34.7,20.1,10.4,1.6
95,Othyus Jeffers,2014,2014,1,2,13,0,1,0,1,2,2,0,3,0,0,0,1,1,2,.000,.000,1.000,6.5,1.0,1.5,0.0
96,Chris Johnson,2013,2013,1,30,284,48,75,0,0,21,34,20,60,8,7,28,13,49,117,.640,,.618,9.5,3.9,2.0,0.3
97,Ervin Johnson,2004,2005,2,112,1375,83,157,1,2,33,53,104,345,30,34,56,48,242,200,.529,.500,.623,12.3,1.8,3.1,0.3
98,Steve Johnson,1990,1990,1,4,17,0,2,0,0,0,0,0,3,1,0,0,6,4,0,.000,,,4.3,0.0,0.8,0.3
99,Wesley Johnson,2011,2012,2,144,3538,429,1079,156,458,88,126,75,417,207,93,102,155,278,1102,.398,.341,.698,24.6,7.7,2.9,1.4
100,Askia Jones,1995,1995,1,11,139,15,44,2,12,13,16,6,11,16,6,0,9,19,45,.341,.167,.813,12.6,4.1,1.0,1.5
101,Tyus Jones,2016,2016,1,8,96,10,30,2,4,3,5,3,15,14,4,1,7,6,25,.333,.500,.600,12.0,3.1,1.9,1.8
102,Reggie Jordan,1997,1999,3,94,814,77,177,0,1,66,117,84,160,92,49,14,46,103,220,.435,.000,.564,8.7,2.3,1.7,1.0
103,Sean Kilpatrick,2015,2015,1,4,72,7,20,4,13,4,4,1,6,4,3,0,2,3,22,.350,.308,1.000,18.0,5.5,1.5,1.0
104,Stacey King,1994,1995,2,68,1308,177,382,0,1,125,185,94,274,45,37,50,104,183,479,.463,.000,.676,19.2,7.0,4.0,0.7
105,Andrei Kirilenko,2013,2013,1,64,2034,284,560,35,120,188,250,102,362,177,96,62,119,82,791,.507,.292,.752,31.8,12.4,5.7,2.8
106,Kosta Koufos,2011,2011,1,39,336,47,108,0,2,12,24,42,97,7,8,20,25,50,106,.435,.000,.500,8.6,2.7,2.5,0.2
107,Zach LaVine,2015,2016,2,111,2728,459,1089,92,280,232,274,45,322,385,72,13,262,234,1242,.421,.329,.847,24.6,11.2,2.9,3.5
108,Christian Laettner,1993,1996,4,276,9539,1632,3446,32,136,1463,1798,593,2225,893,333,299,871,1013,4759,.474,.235,.814,34.6,17.2,8.1,3.2
109,Andrew Lang,1996,1996,1,20,550,72,171,1,2,30,38,42,121,3,7,41,30,63,175,.421,.500,.789,27.5,8.8,6.1,0.2
110,Malcolm Lee,2012,2013,2,35,532,52,135,10,34,26,37,24,65,51,20,10,27,52,140,.385,.294,.703,15.2,4.0,1.9,1.5
111,Gary Leonard,1990,1990,1,22,127,13,31,0,1,6,14,10,27,1,3,9,8,26,32,.419,.000,.429,5.8,1.5,1.2,0.0
112,Quincy Lewis,2004,2004,1,14,65,7,20,2,5,0,0,1,7,2,2,2,3,10,16,.350,.400,,4.6,1.1,0.5,0.1
113,Brad Lohaus,1990,1990,1,28,590,94,202,1,16,21,26,21,110,62,14,22,45,66,210,.465,.063,.808,21.1,7.5,3.9,2.2
114,Luc Longley,1992,1994,3,170,3025,381,830,0,1,162,234,225,792,150,117,199,250,457,924,.459,.000,.692,17.8,5.4,4.7,0.9
115,Felipe Lopez,2001,2002,2,90,1038,128,308,27,56,56,88,54,154,73,39,13,63,119,339,.416,.482,.636,11.5,3.8,1.7,0.8
116,Kevin Love,2009,2014,6,364,11933,2318,5138,440,1215,1913,2346,1345,4453,898,242,173,753,811,6989,.451,.362,.815,32.8,19.2,12.2,2.5
117,Sidney Lowe,1990,1990,1,80,1744,73,229,2,9,39,54,41,163,337,73,4,63,114,187,.319,.222,.722,21.8,2.3,2.0,4.2
118,Mark Madsen,2004,2009,6,270,3263,191,412,0,13,115,250,310,684,75,77,62,130,535,497,.464,.000,.460,12.1,1.8,2.5,0.3
119,Stephon Marbury,1997,1999,3,167,6097,992,2412,205,631,637,874,129,476,1393,200,31,521,425,2826,.411,.325,.729,36.5,16.9,2.9,8.3
120,Donyell Marshall,1995,1995,1,40,1036,158,423,32,106,83,122,64,196,57,25,50,58,63,431,.374,.302,.680,25.9,10.8,4.9,1.4
121,Darrick Martin,1995,2004,3,85,1722,203,531,28,111,129,148,19,115,312,62,3,139,187,563,.382,.252,.872,20.3,6.6,1.4,3.7
122,Kevin Martin,2014,2016,3,133,4128,804,1912,218,562,565,638,58,402,244,113,8,207,243,2391,.421,.388,.886,31.0,18.0,3.0,1.8
