Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
2,Tom Abernethy,1979,1981,3,147,2480,330,663,0,1,128,179,137,415,167,75,25,73,256,788,.498,.000,.715,16.9,5.4,2.8,1.1
3,Jeff Adrien,2011,2011,1,23,196,23,54,0,0,11,19,23,58,10,4,5,9,28,57,.426,,.579,8.5,2.5,2.5,0.4
4,Chuck Aleksinas,1985,1985,1,74,1114,161,337,0,1,55,75,87,270,36,15,15,72,171,377,.478,.000,.733,15.1,5.1,3.6,0.5
5,Victor Alexander,1992,1995,4,271,5658,1083,2075,18,61,318,500,439,1355,251,135,176,373,707,2502,.522,.295,.636,20.9,9.2,5.0,0.9
6,Steve Alford,1989,1989,1,57,868,145,313,20,53,49,59,10,69,83,44,3,44,54,359,.463,.377,.831,15.2,6.3,1.2,1.5
7,Bob Allen,1969,1969,1,27,232,14,43,,,20,36,,56,10,,,,27,48,.326,,.556,8.6,1.8,2.1,0.4
8,Odis Allison,1972,1972,1,36,166,17,78,,,33,61,,45,10,,,,34,67,.218,,.541,4.6,1.9,1.3,0.3
9,Lou Amundson,2011,2011,1,46,691,83,183,0,0,34,87,81,185,17,14,33,24,87,200,.454,,.391,15.0,4.3,4.0,0.4
10,Gilbert Arenas,2002,2003,2,129,4021,683,1564,148,426,494,628,138,518,688,193,28,387,375,2008,.437,.347,.787,31.2,15.6,4.0,5.3
11,Paul Arizin,1951,1962,10,713,24897,5628,13354,,,5010,6189,,6129,1665,,,,2764,16266,.421,,.810,38.4,22.8,8.6,2.3
12,B.J. Armstrong,1996,1998,3,135,3341,494,1073,123,298,307,365,33,265,533,97,8,188,209,1418,.460,.413,.841,24.7,10.5,2.0,3.9
13,Bob Armstrong,1957,1957,1,19,110,11,37,,,6,12,,39,3,,,,13,28,.297,,.500,5.8,1.5,2.1,0.2
14,Hilton Armstrong,2014,2014,1,15,97,9,19,0,0,7,16,19,47,5,4,4,6,11,25,.474,,.438,6.5,1.7,3.1,0.3
15,Vincent Askew,1991,1992,2,87,1581,205,404,1,10,120,171,96,244,201,49,23,90,149,531,.507,.100,.702,18.2,6.1,2.8,2.3
16,Al Attles,1961,1971,11,711,17826,2499,5545,,,1330,2106,,2463,2483,,,,2417,6328,.451,,.632,25.1,8.9,3.5,3.5
17,Kelenna Azubuike,2007,2010,4,205,5007,799,1740,209,511,364,473,257,829,230,129,103,199,407,2171,.459,.409,.770,24.4,10.6,4.0,1.1
18,Greg Ballard,1986,1987,2,157,3371,520,1134,32,75,169,217,231,757,191,115,23,124,341,1241,.459,.427,.779,21.5,7.9,4.8,1.2
19,Leandro Barbosa,2015,2016,2,91,1338,245,529,61,157,66,85,32,126,135,63,13,67,127,617,.463,.389,.776,14.7,6.8,1.4,1.5
20,Harrison Barnes,2013,2016,4,258,7092,947,2131,226,604,421,568,257,1182,363,194,56,274,475,2541,.444,.374,.741,27.5,9.8,4.6,1.4
21,Matt Barnes,2007,2008,2,149,3227,462,1070,159,471,149,202,185,674,295,121,77,190,347,1232,.432,.338,.738,21.7,8.3,4.5,2.0
22,Jim Barnett,1972,1974,3,239,6104,1118,2514,,,611,735,76,727,819,56,11,,485,2847,.445,,.831,25.5,11.9,3.0,3.4
23,Earl Barron,2012,2012,1,2,9,2,4,0,0,0,0,1,1,0,0,0,0,5,4,.500,,,4.5,2.0,0.5,0.0
24,Drew Barry,2000,2000,1,8,85,9,18,3,9,1,2,0,8,17,2,0,6,14,22,.500,.333,.500,10.6,2.8,1.0,2.1
25,Jon Barry,1996,1996,1,68,712,91,185,44,93,31,37,17,63,85,33,11,42,51,257,.492,.473,.838,10.5,3.8,0.9,1.3
26,Rick Barry,1966,1978,8,642,24443,6466,14392,,,3515,3921,417,4655,3247,929,203,224,1887,16447,.449,,.896,38.1,25.6,7.3,5.1
27,Vic Bartolome,1972,1972,1,38,165,15,59,,,4,5,,60,3,,,,22,34,.254,,.800,4.3,0.9,1.6,0.1
28,Kenny Battle,1992,1992,1,8,46,8,13,0,1,2,4,1,7,4,1,2,2,6,18,.615,.000,.500,5.8,2.3,0.9,0.5
29,Kent Bazemore,2013,2014,2,105,535,79,213,20,73,46,80,10,62,42,29,10,46,69,224,.371,.274,.575,5.1,2.1,0.6,0.4
30,Butch Beard,1974,1975,2,161,4655,724,1390,,,405,513,252,705,645,237,20,,538,1853,.521,,.789,28.9,11.5,4.4,4.0
31,Ernie Beck,1954,1960,6,361,6972,919,2396,,,461,606,,1168,654,,,,657,2299,.384,,.761,19.3,6.4,3.2,1.8
32,Hank Beenders,1948,1948,1,24,,23,69,,,14,24,,,7,,,,31,60,.333,,.583,,2.5,,0.3
33,Marco Belinelli,2008,2009,2,75,1123,176,410,68,172,47,61,13,85,103,41,1,71,88,467,.429,.395,.770,15.0,6.2,1.1,1.4
34,Charlie Bell,2011,2011,1,19,171,12,43,6,21,2,4,6,18,13,6,1,6,13,32,.279,.286,.500,9.0,1.7,0.9,0.7
35,Raja Bell,2010,2010,1,1,23,4,6,3,3,0,0,0,2,3,0,0,0,2,11,.667,1.000,,23.0,11.0,2.0,3.0
36,Keith Benson,2012,2012,1,3,9,0,1,0,0,0,0,2,3,0,0,0,0,0,0,.000,,,3.0,0.0,1.0,0.0
37,Andris Biedrins,2005,2013,9,510,11101,1431,2408,0,2,382,760,1188,3614,467,331,580,477,1620,3244,.594,.000,.503,21.8,6.4,7.1,0.9
38,Gale Bishop,1949,1949,1,56,,170,523,,,127,195,,,92,,,,137,467,.325,,.651,,8.3,,1.6
39,Uwe Blab,1990,1990,1,40,481,33,87,0,0,17,31,28,99,24,1,22,30,93,83,.379,,.548,12.0,2.1,2.5,0.6
40,Steve Blake,2014,2014,1,28,607,45,120,27,79,5,8,5,56,102,20,6,31,36,122,.375,.342,.625,21.7,4.4,2.0,3.6
41,Mookie Blaylock,2000,2002,3,177,5410,694,1784,189,568,124,179,134,594,1065,333,46,308,276,1701,.389,.333,.693,30.6,9.6,3.4,6.0
42,Corie Blount,2001,2001,1,38,918,107,247,2,8,43,68,146,315,51,29,17,55,90,259,.433,.250,.632,24.2,6.8,8.3,1.3
43,Nelson Bobb,1950,1953,4,227,2478,361,1030,,,330,539,,405,488,,,,523,1052,.350,,.612,21.2,4.6,2.4,2.1
44,Muggsy Bogues,1998,1999,2,95,2268,215,472,4,22,90,102,46,204,461,108,4,151,100,524,.456,.182,.882,23.9,5.5,2.1,4.9
