Rk,Player,From,To,Yrs,G,MP_total,FG,FGA,3P,3PA,FT,FTA,ORB,TRB_total,AST_total,STL,BLK,TOV,PF,PTS_total,FG%,3P%,FT%,MP,PTS,TRB,AST
2,Mark Acres,1993,1993,1,12,246,24,40,0,0,10,14,24,61,5,3,6,11,32,58,.600,,.714,20.5,4.8,5.1,0.4
3,Michael Adams,1987,1994,4,281,8934,1295,3155,276,891,879,1031,185,856,1844,426,25,635,536,3745,.410,.310,.853,31.8,13.3,3.0,6.6
4,Mark Alarie,1988,1991,4,261,4390,820,1741,32,126,257,317,365,906,289,110,81,253,574,1929,.471,.254,.811,16.8,7.4,3.5,1.1
5,Courtney Alexander,2001,2002,2,83,2235,400,869,19,54,188,226,65,228,127,64,9,114,176,1007,.460,.352,.832,26.9,12.1,2.7,1.5
6,Morris Almond,2012,2012,1,4,67,6,17,1,3,1,3,1,8,2,7,0,1,6,14,.353,.333,.333,16.8,3.5,2.0,0.5
7,Ashraf Amaya,1997,1997,1,31,144,12,40,1,1,15,28,19,52,3,7,3,10,29,40,.300,1.000,.536,4.6,1.3,1.7,0.1
8,Ron Anderson,1994,1994,1,10,180,20,43,3,14,9,11,8,27,11,3,1,9,7,52,.465,.214,.818,18.0,5.2,2.7,1.1
9,Gilbert Arenas,2004,2011,8,357,14049,2874,6818,868,2430,2314,2860,288,1513,2046,636,96,1239,1161,8930,.422,.357,.809,39.4,25.0,4.2,5.7
10,Trevor Ariza,2013,2014,2,133,4194,577,1304,256,651,227,288,143,741,304,198,40,216,251,1637,.442,.393,.788,31.5,12.3,5.6,2.3
11,Hilton Armstrong,2011,2011,1,41,412,31,64,1,3,14,23,39,114,10,15,16,25,75,77,.484,.333,.609,10.0,1.9,2.8,0.2
12,Chucky Atkins,2006,2006,1,28,552,66,174,33,92,22,31,12,45,69,14,0,30,58,187,.379,.359,.710,19.7,6.7,1.6,2.5
13,Isaac Austin,2000,2000,1,59,1173,151,352,1,4,94,137,64,282,74,17,38,107,128,397,.429,.250,.686,19.9,6.7,4.8,1.3
14,Johnny Austin,1967,1967,1,4,61,5,22,,,13,16,,7,4,,,,12,23,.227,,.813,15.3,5.8,1.8,1.0
15,Gus Bailey,1980,1980,1,20,180,16,35,1,1,5,13,6,28,26,7,4,11,18,38,.457,1.000,.385,9.0,1.9,1.4,1.3
16,Greg Ballard,1978,1985,8,643,18687,3699,7800,61,199,1247,1584,1201,4094,1542,762,233,935,1463,8706,.474,.307,.787,29.1,13.5,6.4,2.4
17,Jim Barnes,1966,1971,2,77,2028,323,756,,,189,279,,699,93,,,,273,835,.427,,.677,26.3,10.8,9.1,1.2
18,John Barnhill,1967,1969,2,83,1718,263,622,,,105,168,,210,207,,,,143,631,.423,,.625,20.7,7.6,2.5,2.5
19,Earl Barron,2013,2013,1,11,122,13,37,0,0,2,5,16,43,3,5,5,10,23,28,.351,,.400,11.1,2.5,3.9,0.3
20,Billy Ray Bates,1983,1983,1,15,277,53,129,2,5,10,20,10,18,14,13,3,12,18,118,.411,.400,.500,18.5,7.9,1.2,0.9
21,Dave Batton,1983,1983,1,54,558,85,191,0,3,8,17,45,119,29,15,13,28,56,178,.445,.000,.471,10.3,3.3,2.2,0.5
22,Lonny Baxter,2004,2004,1,12,132,16,32,0,1,9,12,11,31,5,2,5,5,23,41,.500,.000,.750,11.0,3.4,2.6,0.4
23,Bradley Beal,2013,2016,4,209,7002,1252,2975,372,933,451,576,170,805,629,216,71,392,444,3327,.421,.399,.783,33.5,15.9,3.9,3.0
24,Ron Behagen,1980,1980,1,6,64,9,23,0,0,5,6,6,14,7,0,4,4,14,23,.391,,.833,10.7,3.8,2.3,1.2
25,Walt Bellamy,1962,1966,5,327,13613,3413,6617,,,2194,3318,,5438,778,,,,1156,9020,.516,,.661,41.6,27.6,16.6,2.4
26,Mike Bibby,2011,2011,1,2,29,1,9,0,4,0,0,0,3,8,1,0,1,3,2,.111,.000,,14.5,1.0,1.5,4.0
27,Dave Bing,1976,1977,2,146,4461,768,1710,,,468,598,148,380,767,179,28,,412,2004,.449,,.783,30.6,13.7,2.6,5.3
